stamp_sec,receive_sec,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
0.217,1789944837.36,0,0,-9.8,0,0,0
0.237,1789944837.38,0,0,-9.8,0,0,0
0.257,1789944837.4,0,0,-9.8,0,0,0
0.277,1789944837.42,-1.07226920145e-26,4.47202004387e-22,-9.8,2.08617004856e-19,7.31323155114e-25,6.56983437854e-25
0.297,1789944837.44,1.07229218912e-26,-4.47175552099e-22,-9.8,-2.08604665311e-19,-7.31312107555e-25,-6.57001718525e-25
0.317,1789944837.46,2.44256303633e-32,-2.6451893801e-26,-9.8,-1.23395456856e-23,-1.13879038069e-29,2.26942187443e-34
0.337,1789944837.48,-7.21174069087e-34,7.61707369843e-34,-9.8,3.5532892122e-31,3.36420540473e-31,1.80581271522e-36
0.357,1789944837.51,-1.44849906303e-25,6.34752972058e-21,-9.8,2.96108242622e-18,1.05367548635e-23,8.77382314073e-24
0.377,1789944837.53,3.219087296e-05,0.0624698506294,78.1601324973,-2.49890661425,0.00128235450061,6.5868087393e-05
0.397,1789944837.54,-7.22698688519e-07,1.60971569163e-06,0.489999528335,0.000131412958834,5.4224405118e-05,-6.92260579394e-05
0.417,1789944837.57,-0.000132263676368,-0.222934193977,-0.402457182065,8.91698106533,-0.0035820399172,-0.000302750648885
0.437,1789944837.59,0.000133020875174,0.222932487057,-0.0875423502251,-8.91712010221,0.00352442995361,0.00037599522736
0.457,1789944837.61,-7.51735640305e-07,1.70688512161e-06,0.489999532313,0.00013903827037,5.78284848957e-05,-7.3244565267e-05
0.477,1789944837.63,-0.000132283296674,-0.222934193932,-0.402457182037,8.91698106306,-0.00358284817714,-0.000302746980563
0.497,1789944837.65,0.000133040620203,0.22293248702,-0.087542350259,-8.91712010028,0.00352524425541,0.000375991012095
0.517,1789944837.67,-7.51727651396e-07,1.70688463847e-06,0.489999532312,0.000139038307425,5.78277541039e-05,-7.3244018288e-05
0.537,1789944837.69,-0.000132303066379,-0.222934193894,-0.402457182128,8.91698106106,-0.00358366234964,-0.000302743322585
0.557,1789944837.71,0.00013306038007,0.222932486981,-0.0875423501681,-8.91712009831,0.00352605916089,0.000375986836934
0.577,1789944837.73,-7.51717912982e-07,1.70688534542e-06,0.489999532312,0.000139038331531,5.78270171274e-05,-7.32435011052e-05
0.597,1789944837.75,-0.00013232283567,-0.222934193856,-0.402457182218,8.91698105906,-0.00358447650936,-0.000302739664019
0.617,1789944837.77,0.000133080139528,0.222932486941,-0.0875423500772,-8.91712009633,0.00352687405404,0.000375982651253
0.637,1789944837.79,-7.5170817821e-07,1.70688792786e-06,0.489999532312,0.00013903835203,5.78262797508e-05,-7.32429739905e-05
