stamp_sec,receive_sec,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
0.197,1789944837.34,0,0,0,0,0,0
0.217,1789944837.36,0,0,-0.196,0,0,0
0.237,1789944837.38,0,0,-0.392,0,0,0
0.257,1789944837.4,0,0,-0.588,0,0,0
0.277,1789944837.42,-2.1445384029e-28,8.94404008774e-24,-0.784,4.17234009713e-21,1.46264631023e-26,1.31396687571e-26
0.297,1789944837.44,4.59753303945e-33,5.29045757867e-28,-0.98,2.46790906524e-25,2.20951187243e-31,-3.65613414923e-31
0.317,1789944837.46,5.08604564672e-33,7.8818465578e-33,-1.176,-7.18946758484e-33,-6.80688889533e-33,-3.65608876079e-31
0.337,1789944837.48,5.07162216534e-33,7.89708070519e-33,-1.372,-8.28891604399e-35,-7.84780858697e-35,-3.65608839963e-31
0.357,1789944837.51,-2.89699305443e-27,1.26950594419e-22,-1.568,5.92216485245e-20,2.10735097191e-25,1.75476097206e-25
0.377,1789944837.53,6.43817459199e-07,0.00124939701259,-0.00479735005429,-0.0499781322849,2.56470900123e-05,1.31736174786e-06
0.397,1789944837.54,6.29363485429e-07,0.0012494292069,0.0050026405124,-0.0499755040257,2.67315781146e-05,-6.71594109286e-08
0.417,1789944837.57,-2.01591004193e-06,-0.00320925467263,-0.0030465031289,0.128364117281,-4.49092202293e-05,-6.12217238863e-06
0.437,1789944837.59,6.44507461542e-07,0.0012493950685,-0.0047973501334,-0.0499782847634,2.55793788428e-05,1.39773215858e-06
0.457,1789944837.61,6.29472748736e-07,0.00124942920621,0.00500264051285,-0.049975503998,2.67359485408e-05,-6.71591467653e-08
0.477,1789944837.63,-2.01619318473e-06,-0.00320925467243,-0.00304650312789,0.128364117263,-4.4921015002e-05,-6.12209875803e-06
0.497,1789944837.65,6.44619219333e-07,0.00124939506797,-0.00479735013307,-0.0499782847424,2.55838701063e-05,1.39772148388e-06
0.517,1789944837.67,6.29584666305e-07,0.00124942920566,0.00500264051318,-0.0499755039763,2.67404251884e-05,-6.71588818826e-08
0.537,1789944837.69,-2.01647666127e-06,-0.00320925467222,-0.00304650312937,0.128364117245,-4.49328218045e-05,-6.12202533358e-06
0.557,1789944837.71,6.44730940129e-07,0.00124939506741,-0.00479735013273,-0.0499782847212,2.55883614132e-05,1.3977114051e-06
0.577,1789944837.73,6.29696581869e-07,0.00124942920512,0.00500264051351,-0.0499755039546,2.67449017558e-05,-6.71586170049e-08
0.597,1789944837.75,-2.01676013153e-06,-0.00320925467201,-0.00304650313086,0.128364117227,-4.49446284314e-05,-6.12195189739e-06
0.617,1789944837.77,6.44842659026e-07,0.00124939506681,-0.0047973501324,-0.0499782846998,2.55928526493e-05,1.39770112768e-06
0.637,1789944837.79,6.29808495462e-07,0.00124942920457,0.00500264051384,-0.0499755039328,2.67493782443e-05,-6.71583521312e-08
0.657,1789944837.81,-2.01704360002e-06,-0.0032092546718,-0.00304650313234,0.128364117208,-4.49564349731e-05,-6.12187846338e-06
0.677,1789944837.83,6.44954362644e-07,0.00124939506627,-0.00479735013207,-0.0499782846786,2.55973437442e-05,1.39769065161e-06
0.697,1789944837.85,6.2992040906e-07,0.00124942920403,0.00500264051417,-0.0499755039111,2.67538547331e-05,-6.71580872592e-08
0.717,1789944837.87,-2.01732706577e-06,-0.00320925467159,-0.00304650313384,0.12836411719,-4.49682413655e-05,-6.12180503568e-06
0.737,1789944837.89,6.4506609031e-07,0.00124939506572,-0.00479735013174,-0.0499782846574,2.56018348527e-05,1.39768017554e-06
0.757,1789944837.91,6.30032319271e-07,0.00124942920348,0.0050026405145,-0.0499755038894,2.67583310864e-05,-6.7157822395e-08
0.777,1789944837.93,-2.01761052401e-06,-0.00320925467138,-0.00304650313531,0.128364117172,-4.49800475139e-05,-6.12173159906e-06
0.797,1789944837.95,6.45177792836e-07,0.00124939506513,-0.00479735013141,-0.0499782846361,2.56063259039e-05,1.39766969946e-06
0.817,1789944837.97,6.30144230014e-07,0.00124942920294,0.00500264051484,-0.0499755038676,2.6762807461e-05,-6.71575575304e-08
0.837,1789944837.99,-2.01789398116e-06,-0.00320925467116,-0.0030465031368,0.128364117154,-4.4991853487e-05,-6.12165818309e-06
0.857,1789944838.01,6.45289528884e-07,0.00124939506458,-0.00479735013108,-0.0499782846149,2.56108168694e-05,1.39765981931e-06
0.877,1789944838.03,6.30256137444e-07,0.00124942920239,0.00500264051517,-0.0499755038459,2.6767283703e-05,-6.71572926703e-08
0.897,1789944838.05,-2.01817743277e-06,-0.00320925467095,-0.00304650313828,0.128364117136,-4.5003659395e-05,-6.12158474266e-06
0.917,1789944838.07,6.45401240855e-07,0.00124939506405,-0.00479735013075,-0.0499782845937,2.56153078201e-05,1.39764934323e-06
0.937,1789944838.09,6.30368044002e-07,0.00124942920185,0.0050026405155,-0.0499755038242,2.67717599102e-05,-6.71570278127e-08
0.957,1789944838.11,-2.01846088151e-06,-0.00320925467074,-0.00304650313976,0.128364117117,-4.5015465079e-05,-6.12151131932e-06
0.977,1789944838.13,6.45512936484e-07,0.00124939506348,-0.00479735013042,-0.0499782845724,2.56197986003e-05,1.39763886715e-06
0.997,1789944838.15,6.30479950012e-07,0.00124942920131,0.00500264051583,-0.0499755038024,2.67762360954e-05,-6.71567629572e-08
1.017,1789944838.17,-2.01874432773e-06,-0.00320925467053,-0.00304650314124,0.128364117099,-4.50272706679e-05,-6.12143789502e-06
1.037,1789944838.19,6.45624669211e-07,0.00124939506292,-0.00479735013009,-0.0499782845512,2.56242894378e-05,1.39762839106e-06
1.057,1789944838.21,6.30591852254e-07,0.00124942920076,0.00500264051616,-0.0499755037807,2.678071213e-05,-6.7156498109e-08
1.077,1789944838.23,-2.01902776968e-06,-0.00320925467032,-0.00304650314273,0.128364117081,-4.50390760786e-05,-6.12136447196e-06
1.097,1789944838.25,6.45736362997e-07,0.0012493950624,-0.00479735012975,-0.04997828453,2.56287801361e-05,1.39761870953e-06
1.117,1789944838.27,6.30703756139e-07,0.00124942920022,0.00500264051649,-0.049975503759,2.67851882302e-05,-6.71562332613e-08
1.137,1789944838.29,-2.01931121088e-06,-0.0032092546701,-0.00304650314421,0.128364117063,-4.50508815089e-05,-6.12129104114e-06
1.157,1789944838.31,6.45848156816e-07,0.00124939506179,-0.00479735012942,-0.0499782845087,2.56332710274e-05,1.39760803482e-06
1.177,1789944838.33,6.30815655184e-07,0.00124942919967,0.00500264051682,-0.0499755037373,2.67896641369e-05,-6.71559684211e-08
1.197,1789944838.35,-2.01959464342e-06,-0.00320925466989,-0.00304650314569,0.128364117044,-4.50626865633e-05,-6.12121761487e-06
1.217,1789944838.37,6.45959861475e-07,0.00124939506125,-0.00479735012909,-0.0499782844875,2.56377616873e-05,1.39759835328e-06
1.237,1789944838.39,6.3092755473e-07,0.00124942919913,0.00500264051715,-0.0499755037155,2.67941400636e-05,-6.71557035799e-08
1.257,1789944838.41,-2.01987807428e-06,-0.00320925466968,-0.00304650314718,0.128364117026,-4.50744915009e-05,-6.12114419643e-06
1.277,1789944838.43,6.46071550724e-07,0.00124939506068,-0.00479735012876,-0.0499782844662,2.56422522073e-05,1.39758708262e-06
1.297,1789944838.45,6.31039453337e-07,0.00124942919858,0.00500264051748,-0.0499755036938,2.67986159527e-05,-6.71554387421e-08
1.317,1789944838.47,-2.02016150247e-06,-0.00320925466947,-0.00304650314866,0.128364117008,-4.50862963498e-05,-6.12107077509e-06
1.337,1789944838.49,6.46183290084e-07,0.00124939506009,-0.00479735012843,-0.0499782844449,2.5646742827e-05,1.3975770038e-06
1.357,1789944838.51,6.31151350485e-07,0.00124942919804,0.00500264051781,-0.0499755036721,2.68030917835e-05,-6.71551739105e-08
1.377,1789944838.53,-2.02044492509e-06,-0.00320925466926,-0.00304650315016,0.12836411699,-4.50981009455e-05,-6.12099735857e-06
1.397,1789944838.55,6.46294961987e-07,0.00124939505954,-0.0047973501281,-0.0499782844236,2.56512331282e-05,1.39756672633e-06
1.417,1789944838.57,6.31263244602e-07,0.00124942919749,0.00500264051814,-0.0499755036503,2.68075674931e-05,-6.71549090809e-08
1.437,1789944838.59,-2.02072834397e-06,-0.00320925466905,-0.00304650315165,0.128364116971,-4.51099054295e-05,-6.12092393606e-06
1.457,1789944838.61,6.46406672137e-07,0.00124939505894,-0.00479735012776,-0.0499782844023,2.5655723536e-05,1.39755625023e-06
