receive_sec,t_act,trajectory_id,piece,x_pos,x_vel,x_acc,x_jerk,x_ratio,y_pos,y_vel,y_acc,y_jerk,y_ratio,z_pos,z_vel,z_acc,z_jerk,z_ratio,yaw_pos,yaw_vel,yaw_acc,yaw_jerk,yaw_ratio
1789944862.99,0,,0,-9.03881803261,0,0.112204866401,0,0,-9.13652001075,0,0.113417706107,0,0,0.0249952027176,0,0.0121033837195,0,0,1.57075913159,-6.09119531106e-06,-0.1,0,0
1789944863.02,0.030053941533,,0,-9.03876735868,0.00337219843472,0.112204866401,0,0.142359659127,-9.13646878908,0.00340864904769,0.113417706107,0,0.142359659127,0.0250006688439,0.000363754380206,0.0121033837195,0,0.142359659127,1.57071378655,-0.00301148529531,-0.1,0,0.379157782459
1789944863.05,0.0600351765752,,0,-9.03861582695,0.00673623912684,0.112204866401,0,0.28437493358,-9.13631561942,0.00680905217447,0.113417706107,0,0.28437493358,0.0250170143622,0.000726628796002,0.0121033837195,0,0.28437493358,1.57057855477,-0.00600960899531,-0.1,0,0.757398337876
1789944863.09,0.100037179887,,0,-9.03825659098,0.0112246587536,0.112204866401,0,0.473856632376,-9.13595250042,0.0113459878212,0.113417706107,0,0.473856632376,0.0250557646486,0.00121078841207,0.0121033837195,0,0.473856632376,1.57025815034,-0.0100098094953,-0.1,0,1.26205998973
1789944863.12,0.130070254207,,0,-9.03786887641,0.0145945156972,0.112204866401,0,0.616117443855,-9.13556059498,0.0147522700682,0.113417706107,0,0.616117443855,0.0250975868835,0.00157429021886,0.0121033837195,0,0.616117443855,1.56991242573,-0.0130131167953,-0.1,0,1.6409545034
1789944863.15,0.160072997212,,0,-9.03738049941,0.017960969916,0.112204866401,0,0.758234606985,-9.13506693904,0.0181551128099,0.113417706107,0,0.758234606985,0.0251502674348,0.00193742497844,0.0121033837195,0,0.758234606985,1.56947698824,-0.0160133914953,-0.1,0,2.01946642702
1789944863.19,0.200074195862,,0,-9.03657226992,0.0224492985446,0.112204866401,0,0.947712464232,-9.13424997326,0.0226919564749,0.113417706107,0,0.947712464232,0.0252374500323,0.00242157477866,0.0121033837195,0,0.947712464232,1.56875642868,-0.0200135108953,-0.1,0,2.52411784737
1789944863.22,0.230128183961,,0,-9.0358469048,0.0258215025896,0.112204866401,0,1.0900723602,-9.13351676757,0.0261006111935,0.113417706107,0,1.0900723602,0.0253156941634,0.00278532976403,0.0121033837195,0,1.0900723602,1.56810978069,-0.0230189099953,-0.1,0,2.90327626062
1789944863.25,0.260011017323,,0,-9.03502518686,0.0291745008642,0.112204866401,0,1.23162147146,-9.13268616755,0.0294898525435,0.113417706107,0,1.23162147146,0.0254043317415,0.00314701304953,0.0121033837195,0,1.23162147146,1.56737726149,-0.0260071923953,-0.1,0,3.28027524659
1789944863.29,0.300047755241,,0,-9.03376720609,0.033666817927,0.112204866401,0,1.42126770318,-9.13141458907,0.0340307277543,0.113417706107,0,1.42126770318,0.025540028387,0.00363159307662,0.0121033837195,0,1.42126770318,1.56625587126,-0.0300108663953,-0.1,0,3.78537511204
1789944863.32,0.330019950867,,0,-9.03270773846,0.0370298457458,0.112204866401,0,1.56324021849,-9.13034366949,0.0374301070595,0.113417706107,0,1.56324021849,0.0256543116941,0.00399435823518,0.0121033837195,0,1.56324021849,1.5653114626,-0.0330080873953,-0.1,0,4.16350178365
1789944863.35,0.360029160976,,0,-9.03154597893,0.0403970249202,0.112204866401,0,1.70538798612,-9.12916935232,0.0408336825929,0.113417706107,0,1.70538798612,0.0257796290878,0.00435757119472,0.0121033837195,0,1.70538798612,1.56427588842,-0.0360090081953,-0.1,0,4.54209521865
1789944863.39,0.400061130524,,0,-9.02983889981,0.0448888047462,0.112204866401,0,1.89501153802,-9.12744382112,0.0453740147597,0.113417706107,0,1.89501153802,0.025963769351,0.00484209327081,0.0121033837195,0,1.89501153802,1.56275424967,-0.0400122033953,-0.1,0,5.04713467913
1789944863.42,0.430011451244,,0,-9.02844413973,0.0482493785323,0.112204866401,0,2.03688045467,-9.12603398486,0.0487709135062,0.113417706107,0,2.03688045467,0.0261142201915,0.00520459371626,0.0121033837195,0,2.03688045467,1.56151101947,-0.0430072372953,-0.1,0,5.42498542819
1789944863.45,0.46001920104,,0,-9.02694576642,0.051616393551,0.112204866401,0,2.17902129235,-9.1245194154,0.0521743231096,0.113417706107,0,2.17902129235,0.0262758476479,0.00556778896855,0.0121033837195,0,2.17902129235,1.56017544603,-0.0460080117953,-0.1,0,5.80356040612
1789944863.49,0.500072062016,,0,-9.02478838206,0.0561105171122,0.112204866401,0,2.36874378663,-9.12233871155,0.0567170243454,0.113417706107,0,2.36874378663,0.0265085617141,0.00605256386013,0.0121033837195,0,2.36874378663,1.55825248299,-0.0500132957953,-0.1,0,6.30886338771
1789944863.52,0.530013382435,,0,-9.02305806229,0.0594700826254,0.112204866401,0,2.51057013835,-9.12058968848,0.0601129039204,0.113417706107,0,2.51057013835,0.0266952089139,0.00641495554456,0.0121033837195,0,2.51057013835,1.55671019302,-0.0530074310953,-0.1,0,6.68660077021
1789944863.55,0.560007750988,,0,-9.02122382321,0.0628355936501,0.112204866401,0,2.6526474839,-9.11873562283,0.0635147932728,0.113417706107,0,2.6526474839,0.0268930657461,0.0067779885631,0.0121033837195,0,2.6526474839,1.55507528703,-0.0560068651953,-0.1,0,7.0650066445
