time_sec,gt_pose_x,gt_velocidad_x,gt_aceleracion_x,tray_pose_x,tray_velocidad_x,tray_aceleracion_x,gt_pose_y,gt_velocidad_y,gt_aceleracion_y,tray_pose_y,tray_velocidad_y,tray_aceleracion_y,gt_pose_z,gt_velocidad_z,gt_aceleracion_z,tray_pose_z,tray_velocidad_z,tray_aceleracion_z,gt_pose_yaw,gt_velocidad_yaw,gt_aceleracion_yaw,tray_pose_yaw,tray_velocidad_yaw,tray_aceleracion_yaw,error_pose_x,error_pose_y,error_pose_z,error_pose_yaw,error_velocidad_x,error_velocidad_y,error_velocidad_z,error_velocidad_yaw,error_aceleracion_x,error_aceleracion_y,error_aceleracion_z,error_aceleracion_yaw
1789944384.190000057,-8.668231765,0.000843161,0.013096077,-8.666470223,0.017913931,0.088789018,-10.775287416,0.005809751,0.051570091,-10.773223593,0.023476403,0.110169977,0.026659676,0.010304519,-0.001820673,0.026178453,0.006851771,0.009163665,89.995333248,-0.061478559,-0.672459474,89.979456291,-0.185988006,-0.921850740,0.001761542,0.002063823,-0.000481222,-0.015876956,0.017070770,0.017666652,-0.003452748,-0.124509446,0.075692941,0.058599886,0.010984338,-0.249391267
1789944384.210000038,-8.668211639,0.001163188,0.016001350,-8.666085766,0.019685582,0.088638687,-10.775160060,0.006876935,0.053359227,-10.772721608,0.025674678,0.109983356,0.026865546,0.010292982,-0.000576855,0.026318085,0.007034613,0.009147796,89.994044824,-0.076671399,-0.759641965,89.973468941,-0.213579221,-0.919509517,0.002125873,0.002438453,-0.000547461,-0.020575882,0.018522394,0.018797742,-0.003258369,-0.136907823,0.072637337,0.056624129,0.009724651,-0.159867552
1789944384.230000019,-8.668184492,0.001542595,0.018970347,-8.665670026,0.021455918,0.088488243,-10.775011084,0.007969664,0.054636435,-10.772180790,0.027871318,0.109796597,0.027071597,0.010318514,0.001276597,0.026461019,0.007217313,0.009131916,89.992427628,-0.094423543,-0.887607209,89.973468941,-0.213579221,-0.919509517,0.002514465,0.002830294,-0.000610578,-0.018958687,0.019913322,0.019901654,-0.003101201,-0.119155678,0.069517896,0.055160162,0.007855319,-0.031902309
1789944384.250000000,-8.668149116,0.001983323,0.022036393,-8.665223005,0.023224937,0.088337688,-10.774840003,0.009086700,0.055851778,-10.771601139,0.030066325,0.109609699,0.027278351,0.010354703,0.001809476,0.026607256,0.007399871,0.009116024,89.990456958,-0.111615269,-0.859586329,89.964186692,-0.250312868,-0.916383241,0.002926110,0.003238864,-0.000671095,-0.026270266,0.021241614,0.020979625,-0.002954833,-0.138697598,0.066301295,0.053757920,0.007306548,-0.056796912
1789944384.269999981,-8.668104273,0.002486145,0.025141115,-8.664745195,0.024990868,0.088187171,-10.774646297,0.010231550,0.057242540,-10.770983292,0.032257496,0.109422848,0.027485964,0.010410801,0.002804877,0.026756644,0.007582104,0.009100137,89.988150140,-0.129306992,-0.884586116,89.964186692,-0.250312868,-0.916383241,0.003359078,0.003663006,-0.000729319,-0.023963448,0.022504722,0.022025946,-0.002828697,-0.121005876,0.063046056,0.052180308,0.006295260,-0.031797124
1789944384.289999962,-8.668048714,0.003052125,0.028298974,-8.664236596,0.026753708,0.088036693,-10.774429340,0.011411781,0.059011509,-10.770327247,0.034444833,0.109236046,0.027694843,0.010472213,0.003070584,0.026909184,0.007764011,0.009084253,89.985494414,-0.146046301,-0.836965451,89.956265996,-0.277766872,-0.914039741,0.003812118,0.004102093,-0.000785659,-0.029228418,0.023701584,0.023033052,-0.002708201,-0.131720572,0.059737719,0.050224538,0.006013669,-0.077074290
1789944384.309999943,-8.667981167,0.003681575,0.031472513,-8.663675547,0.028510950,0.087886309,-10.774188333,0.012635599,0.061190946,-10.769606138,0.036625219,0.109049360,0.027905078,0.010555925,0.004185614,0.027067074,0.007945331,0.009068379,89.982509900,-0.163922762,-0.893823079,89.947528462,-0.305133671,-0.911697690,0.004305621,0.004582195,-0.000838004,-0.034981438,0.024829374,0.023989619,-0.002610594,-0.141210908,0.056413796,0.047858414,0.004882765,-0.017874611
1789944384.329999924,-8.667900360,0.004375269,0.034684702,-8.663083353,0.030266791,0.087735818,-10.773922318,0.013911623,0.063801193,-10.768846368,0.038803866,0.108862542,0.028117331,0.010669501,0.005678789,0.027228248,0.008126499,0.009052494,89.979149067,-0.184016283,-1.004676046,89.947528462,-0.305133671,-0.911697690,0.004817007,0.005075950,-0.000889083,-0.031620605,0.025891521,0.024892242,-0.002543001,-0.121117387,0.053051117,0.045061349,0.003373706,0.092978357
1789944384.349999905,-8.667804986,0.005135300,0.038001542,-8.662460016,0.032021232,0.087585222,-10.773630154,0.015248771,0.066857408,-10.768047937,0.040980774,0.108675593,0.028331952,0.010784206,0.005735248,0.027392705,0.008307517,0.009036598,89.975396143,-0.203156213,-0.956996483,89.934585002,-0.341564587,-0.908570563,0.005344971,0.005582217,-0.000939247,-0.040811141,0.026885932,0.025732002,-0.002476688,-0.138408374,0.049583680,0.041818185,0.003301350,0.048425919
1789944384.369999886,-8.667693703,0.005962962,0.041383102,-8.661806389,0.033772074,0.087434709,-10.773310549,0.016653135,0.070218154,-10.767211937,0.043153215,0.108488747,0.028548898,0.010909383,0.006258863,0.027560233,0.008488158,0.009020711,89.971275826,-0.222612856,-0.972832173,89.934585002,-0.341564587,-0.908570563,0.005887314,0.006098612,-0.000988665,-0.036690824,0.027809112,0.026500080,-0.002421225,-0.118951730,0.046051606,0.038270593,0.002761848,0.064261609
1789944384.390000105,-8.667565142,0.006859975,0.044850629,-8.661122465,0.035519338,0.087284276,-10.772962110,0.018129275,0.073807043,-10.766338357,0.045321215,0.108302002,0.028768406,0.011031489,0.006105290,0.027730832,0.008668422,0.009004832,89.966779531,-0.240779447,-0.908329522,89.923933894,-0.368775895,-0.906227782,0.006442677,0.006623753,-0.001037574,-0.042845637,0.028659363,0.027191940,-0.002363066,-0.127996449,0.042433647,0.034494958,0.002899542,0.002101740
1789944384.410000086,-8.667417905,0.007827063,0.048354432,-8.660386868,0.037260593,0.087133974,-10.772583377,0.019678748,0.077473616,-10.765400682,0.047481756,0.108115417,0.028990402,0.011168714,0.006861252,0.027906677,0.008848057,0.008988967,89.961932419,-0.259935774,-0.957816344,89.912477990,-0.395893729,-0.903887008,0.007031037,0.007182695,-0.001083726,-0.049454428,0.029433529,0.027803009,-0.002320657,-0.135957955,0.038779542,0.030641801,0.002127715,0.053929336
1789944384.430000067,-8.667250583,0.008865153,0.051904511,-8.659620075,0.039000909,0.086983524,-10.772172882,0.021301944,0.081159791,-10.764424276,0.049641131,0.107928651,0.029215424,0.011329867,0.008057679,0.028085837,0.009027588,0.008973086,89.956687440,-0.281213507,-1.063886661,89.912477990,-0.395893729,-0.903887008,0.007630508,0.007748606,-0.001129588,-0.044209449,0.030135755,0.028339188,-0.002302280,-0.114680222,0.035079013,0.026768860,0.000915408,0.159999653
1789944384.450000048,-8.667061738,0.009976099,0.055547290,-8.658822086,0.040740286,0.086832929,-10.771729143,0.022999477,0.084876699,-10.763409139,0.051799340,0.107741702,0.029443700,0.011485688,0.007791011,0.028268312,0.009207016,0.008957190,89.951031343,-0.301229058,-1.000777559,89.895907907,-0.432011854,-0.900759894,0.008239652,0.008320004,-0.001175387,-0.055123436,0.030764187,0.028799862,-0.002278672,-0.130782796,0.031285639,0.022865004,0.001166179,0.100017665
1789944384.470000029,-8.666849900,0.011160711,0.059230590,-8.657994356,0.042475707,0.086682448,-10.771250681,0.024770256,0.088538946,-10.762357117,0.053952637,0.107554897,0.029675063,0.011646749,0.008053094,0.028453779,0.009386029,0.008941306,89.944993953,-0.321311027,-1.004098441,89.895907907,-0.432011854,-0.900759894,0.008855544,0.008893564,-0.001221283,-0.049086047,0.031314995,0.029182380,-0.002260721,-0.110700827,0.027451858,0.019015951,0.000888212,0.103338546
