stamp_sec,receive_sec,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
145.857,1789944782.84,-0.000136737896661,-0.000299836333172,6.9799263216e-08,-0.000155751393116,6.29090084508e-05,1.85315559727e-08
145.877,1789944782.86,-0.00013212477106,-0.000300470211793,6.94812800095e-08,-0.000155072506001,6.0139466676e-05,1.81447241804e-08
145.897,1789944782.88,-0.000127275698717,-0.000300495610192,6.91948937785e-08,-0.000154086146978,5.7266847476e-05,1.77503350014e-08
145.917,1789944782.9,-0.000122201952774,-0.000299916402553,6.89342588076e-08,-0.000152796282712,5.42975921882e-05,1.7349190883e-08
145.937,1789944782.92,-0.000116915185482,-0.000298737653942,6.86935692881e-08,-0.000151207464977,5.12382948203e-05,1.69420060958e-08
145.957,1789944782.94,-0.000111427402331,-0.000296965602424,6.84670748994e-08,-0.000149324817095,4.80956880408e-05,1.65292837487e-08
145.977,1789944782.96,-0.000105750935619,-0.000294607638967,6.82492007249e-08,-0.000147154020752,4.48766285254e-05,1.61114360421e-08
145.997,1789944782.98,-9.98984175567e-05,-0.000291672285128,6.80345098194e-08,-0.000144701299576,4.15880826996e-05,1.56886804165e-08
146.017,1789944783,-9.38827529232e-05,-0.000288169168633,6.78178235819e-08,-0.00014197340453,3.82371119301e-05,1.52611254844e-08
146.037,1789944783.02,-8.77170913593e-05,-0.000284108996878,6.7594204693e-08,-0.000138977596299,3.48308573507e-05,1.48287410838e-08
146.057,1789944783.04,-8.14147993477e-05,-0.000279503528434,6.73590381868e-08,-0.000135721627192,3.13765257172e-05,1.43913932178e-08
146.077,1789944783.06,-7.49894319265e-05,-0.00027436554262,6.71080615542e-08,-0.000132213723002,2.78813734124e-05,1.39488454085e-08
146.097,1789944783.08,-6.84547042245e-05,-0.000268708807217,6.68373841644e-08,-0.000128462562922,2.43526925719e-05,1.35007638241e-08
146.117,1789944783.1,-6.18244628392e-05,-0.000262548044416,6.65435339643e-08,-0.000124477259394,2.07977956245e-05,1.30466731359e-08
146.137,1789944783.12,-5.51126571502e-05,-0.000255898895044,6.62234740287e-08,-0.000120267336996,1.72240005142e-05,1.2586140852e-08
146.157,1789944783.14,-4.83333105958e-05,-0.000248777881194,6.58746227359e-08,-0.000115842710497,1.36386160891e-05,1.21186097766e-08
146.177,1789944783.16,-4.1500492004e-05,-0.000241202367312,6.54948753575e-08,-0.000111213662333,1.00489273111e-05,1.16434743985e-08
146.197,1789944783.18,-3.46282841119e-05,-0.00023319051696,6.51573882712e-08,-0.000106388516796,6.45987760156e-06,1.10277226817e-08
146.217,1789944783.2,-2.77307747013e-05,-0.000224761270676,6.47788298012e-08,-0.000101380759505,2.88119752267e-06,1.0416439421e-08
146.237,1789944783.22,-2.08220088853e-05,-0.00021593428352,6.42937668588e-08,-9.62038648482e-05,-6.77756474783e-07,9.92634314198e-09
146.257,1789944783.24,-1.39159494636e-05,-0.000206729857826,6.37660662559e-08,-9.08596710901e-05,-4.21047924832e-06,9.44238678659e-09
146.277,1789944783.26,-7.02645408143e-06,-0.000197168985172,6.33200737387e-08,-8.53714996731e-05,-7.7123348849e-06,9.00067546882e-09
146.297,1789944783.28,-1.67263472897e-07,-0.000187273196526,6.28306634283e-08,-7.97484786375e-05,-1.11763243355e-05,8.55456299494e-09
146.317,1789944783.3,6.64803227214e-06,-0.000177064561154,6.21977348599e-08,-7.40056367417e-05,-1.45969838226e-05,8.0324750284e-09
146.337,1789944783.32,1.34060076909e-05,-0.000166565604089,6.16113524325e-08,-6.81488136602e-05,-1.796534212e-05,7.56368171889e-09
146.357,1789944783.34,2.00934462855e-05,-0.000155799309221,6.09080982606e-08,-6.21902153601e-05,-2.12743375709e-05,6.99991125063e-09
146.377,1789944783.36,2.66973718929e-05,-0.000144789068448,6.0183754456e-08,-5.61491493266e-05,-2.45225901699e-05,6.40474788058e-09
146.397,1789944783.38,3.3205031384e-05,-0.000133558577796,5.94875264748e-08,-5.00328596629e-05,-2.76990809784e-05,5.90488679188e-09
146.417,1789944783.4,3.96039640662e-05,-0.00012213184059,5.8773339828e-08,-4.38556696757e-05,-3.07990797519e-05,5.38949378149e-09
146.437,1789944783.42,4.58820049648e-05,-0.000110533093561,5.79880589847e-08,-3.76286671715e-05,-3.38152253822e-05,4.75538244419e-09
146.457,1789944783.44,5.20273266969e-05,-9.8786775386e-05,5.72150573067e-08,-3.13672272306e-05,-3.6746099606e-05,4.22576178889e-09
146.477,1789944783.46,5.8028428322e-05,-8.69174555392e-05,5.63804627882e-08,-2.50846766507e-05,-3.95860212361e-05,3.60776041231e-09
146.497,1789944783.48,6.38741596059e-05,-7.49497814385e-05,5.5575710363e-08,-1.87907950511e-05,-4.23243880378e-05,2.91424926695e-09
146.517,1789944783.5,6.95537832145e-05,-6.29084522285e-05,5.47779180453e-08,-1.24997929441e-05,-4.49596002154e-05,2.2032965854e-09
146.537,1789944783.52,7.50569611826e-05,-5.08181528759e-05,5.39911730832e-08,-6.22442373759e-06,-4.74875353265e-05,1.48443801339e-09
146.557,1789944783.54,8.03737834001e-05,-3.87035048484e-05,5.32183633727e-08,2.4307206495e-08,-4.99097874297e-05,7.62309549262e-10
146.577,1789944783.56,8.54947288193e-05,-2.65890317614e-05,5.24650186536e-08,6.23086565085e-06,-5.22109701838e-05,3.73277969327e-11
146.597,1789944783.58,9.04107783549e-05,-1.44990838752e-05,5.17350703619e-08,1.238442275e-05,-5.43917616351e-05,-6.89290246704e-10
146.617,1789944783.6,9.51133771086e-05,-2.45780564987e-06,5.10329497011e-08,1.84731760174e-05,-5.64489959358e-05,-1.41667712869e-09
146.637,1789944783.62,9.95944633275e-05,9.51091792903e-06,5.0361852576e-08,2.44895213638e-05,-5.83861946771e-05,-2.14359417614e-09
146.657,1789944783.64,0.000103846417161,2.13834681036e-05,4.97284135867e-08,3.04139484007e-05,-6.01876231382e-05,-2.86936751336e-09
146.677,1789944783.66,0.000107862182381,3.31366055579e-05,4.91478796894e-08,3.62380557611e-05,-6.18560760781e-05,-3.57083671904e-09
146.697,1789944783.68,0.000111635213524,4.47474805373e-05,4.85996743318e-08,4.19519188219e-05,-6.33888378233e-05,-4.28980800434e-09
146.717,1789944783.7,0.000115159499727,5.61936743885e-05,4.80988076425e-08,4.75448605981e-05,-6.47845880015e-05,-5.00491176191e-09
146.737,1789944783.72,0.000118429566233,6.74532429668e-05,4.76491465086e-08,5.30064742989e-05,-6.60415431298e-05,-5.71324886243e-09
146.757,1789944783.74,0.000121440482668,7.85047573533e-05,4.72542022334e-08,5.8326581923e-05,-6.71580715144e-05,-6.41197443736e-09
146.777,1789944783.76,0.000124187869504,8.9327343969e-05,4.69167823054e-08,6.34953374913e-05,-6.8132742584e-05,-7.09892023943e-09
146.797,1789944783.78,0.000126667903487,9.99007235722e-05,4.66303840029e-08,6.85035392009e-05,-6.89641347052e-05,-7.78776045738e-09
146.817,1789944783.8,0.000128877324822,0.00011020524584,4.641476541e-08,7.33415619509e-05,-6.96519578011e-05,-8.44492873963e-09
146.837,1789944783.82,0.000130813435791,0.000120221929651,4.62632483385e-08,7.80009689343e-05,-7.01954660986e-05,-9.08260520851e-09
146.857,1789944783.84,0.000132474105392,0.000129932494477,4.61766104358e-08,8.24735522091e-05,-7.05944287321e-05,-9.69942810377e-09
146.877,1789944783.86,0.000133857769817,0.00013931939298,4.61552548754e-08,8.67515436956e-05,-7.08489219788e-05,-1.02939699353e-08
146.897,1789944783.88,0.000134963432197,0.000148365841434,4.61994122685e-08,9.08276005601e-05,-7.09593454147e-05,-1.08642108556e-08
