time_sec,gt_pose_x,gt_velocidad_x,gt_aceleracion_x,tray_pose_x,tray_velocidad_x,tray_aceleracion_x,gt_pose_y,gt_velocidad_y,gt_aceleracion_y,tray_pose_y,tray_velocidad_y,tray_aceleracion_y,gt_pose_z,gt_velocidad_z,gt_aceleracion_z,tray_pose_z,tray_velocidad_z,tray_aceleracion_z,gt_pose_yaw,gt_velocidad_yaw,gt_aceleracion_yaw,tray_pose_yaw,tray_velocidad_yaw,tray_aceleracion_yaw,error_pose_x,error_pose_y,error_pose_z,error_pose_yaw,error_velocidad_x,error_velocidad_y,error_velocidad_z,error_velocidad_yaw,error_aceleracion_x,error_aceleracion_y,error_aceleracion_z,error_aceleracion_yaw
1789944660.289999962,-9.941504252,0.004078376,0.059139383,-9.933494684,0.081465830,0.400429092,-8.829573218,0.002448731,0.056299903,-8.822025525,0.073519133,0.355228524,0.026991228,0.015178413,0.047658764,0.026763046,0.012662816,0.037645314,89.986859318,-0.238182694,-2.855225307,89.923943938,-0.737475399,-3.624924700,0.008009568,0.007547693,-0.000228182,-0.062915380,0.077387454,0.071070401,-0.002515597,-0.499292704,0.341289709,0.298928621,-0.010013449,-0.769699393
1789944660.309999943,-9.941408142,0.005501958,0.071179117,-9.931746021,0.089451250,0.399048727,-8.829510377,0.003805693,0.067848074,-8.820449275,0.080603150,0.354003617,0.027304265,0.016087936,0.045476148,0.027027491,0.013413523,0.037514105,89.982028937,-0.292111086,-2.696419570,89.900199078,-0.845908618,-3.606180867,0.009662121,0.009061102,-0.000276774,-0.081829859,0.083949291,0.076797457,-0.002674413,-0.553797532,0.327869610,0.286155543,-0.007962043,-0.909761297
1789944660.329999924,-9.941280974,0.007173393,0.083571741,-9.929857684,0.097414020,0.397668101,-8.829417983,0.005393278,0.079379247,-8.818749114,0.087667068,0.352778477,0.027636129,0.017040915,0.047648909,0.027305086,0.014162076,0.037382872,89.976154826,-0.350816781,-2.935284776,89.900199078,-0.845908618,-3.606180867,0.011423290,0.010668869,-0.000331043,-0.075955748,0.090240627,0.082273790,-0.002878839,-0.495091837,0.314096359,0.273399231,-0.010266037,-0.670896090
1789944660.349999905,-9.941117686,0.009101880,0.096424349,-9.927829673,0.105354141,0.396287213,-8.829291369,0.007216033,0.091137737,-8.816925040,0.094710888,0.351553106,0.027986290,0.017938604,0.044884444,0.027595830,0.014908474,0.037251614,89.969287201,-0.403853135,-2.651817701,89.863481624,-0.989666109,-3.581179611,0.013288013,0.012366328,-0.000390460,-0.105805577,0.096252261,0.087494855,-0.003030129,-0.585812974,0.299862864,0.260415368,-0.007632830,-0.929361909
1789944660.369999886,-9.940913102,0.011290810,0.109446505,-9.925663302,0.113269445,0.394906438,-8.829125823,0.009275366,0.102966688,-8.814978228,0.101732686,0.350327835,0.028355117,0.018909885,0.048564073,0.027899571,0.015652514,0.037120366,89.961401851,-0.463547533,-2.984719872,89.863481624,-0.989666109,-3.581179611,0.015249800,0.014147595,-0.000455546,-0.097920227,0.101978635,0.092457319,-0.003257371,-0.526118576,0.285459933,0.247361147,-0.011443706,-0.596459739
1789944660.390000105,-9.940661947,0.013747250,0.122821984,-9.923358544,0.121160027,0.393525762,-8.828916554,0.011577842,0.115123799,-8.812908651,0.108732546,0.349102650,0.028744512,0.019967427,0.052877097,0.028216314,0.016394205,0.036989128,89.952346306,-0.530698685,-3.357557590,89.832185736,-1.096811112,-3.562431613,0.017303403,0.016007903,-0.000528198,-0.120160570,0.107412777,0.097154703,-0.003573222,-0.566112428,0.270703777,0.233978851,-0.015887969,-0.204874023
1789944660.410000086,-9.940358764,0.016480996,0.136687285,-9.920818161,0.129007864,0.392145319,-8.828658587,0.014133691,0.127792422,-8.810630052,0.115694475,0.347877674,0.029154349,0.020974497,0.050353514,0.028555187,0.017131834,0.036857912,89.942150575,-0.592485288,-3.089330193,89.797690189,-1.203376115,-3.543686722,0.019540603,0.018028535,-0.000599162,-0.144460386,0.112526868,0.101560784,-0.003842663,-0.610890826,0.255458034,0.220085252,-0.013495601,-0.454356529
1789944660.430000067,-9.939997937,0.019498808,0.150890628,-9.918139923,0.136834152,0.390764414,-8.828346779,0.016950536,0.140842285,-8.808229152,0.122637281,0.346652287,0.029585008,0.022027061,0.052628214,0.028907050,0.017867412,0.036726652,89.930804443,-0.657596654,-3.255568263,89.797690189,-1.203376115,-3.543686722,0.021858014,0.020117627,-0.000677958,-0.133114254,0.117335344,0.105686745,-0.004159650,-0.545779461,0.239873786,0.205810002,-0.015901562,-0.288118458
1789944660.450000048,-9.939573698,0.022808363,0.165477740,-9.915323831,0.144638891,0.389383047,-8.827975811,0.020037020,0.154324180,-8.805705950,0.129560965,0.345426490,0.030035821,0.023013515,0.049322665,0.029271904,0.018600939,0.036595349,89.918383714,-0.715761527,-2.908243662,89.746704356,-1.344682487,-3.518676794,0.024249867,0.022269861,-0.000763917,-0.171679358,0.121830528,0.109523945,-0.004412576,-0.628920960,0.223905307,0.191102310,-0.012727317,-0.610433131
1789944660.470000029,-9.939080173,0.026413314,0.180247552,-9.912373061,0.152415681,0.388002352,-8.827540245,0.023397555,0.168026730,-8.803063288,0.136459848,0.344201290,0.030507111,0.024077473,0.053197904,0.029649366,0.019331813,0.036464109,89.904881285,-0.779923272,-3.208087237,89.746704356,-1.344682487,-3.518676794,0.026707112,0.024476958,-0.000857745,-0.158176929,0.126002367,0.113062293,-0.004745660,-0.564759215,0.207754800,0.176174560,-0.016733796,-0.310589557
