epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm,group_pss_kib,server_pss_kib,orb_pss_kib,gazebo_pss_kib,rviz_pss_kib,web_pss_kib
1786623424,0,1756488,12410264,2097132,0.00,0.00,0.00,0.05,25.71,0.00,0,0,17796,0.00,1,0,0,0,0,0,17796,ros2,2351328,code,23118,0,0,0,0,0
1786623425,1,1597116,12569636,2097132,0.00,0.00,0.00,0.04,21.51,0.32,0,0,513476,255.00,9,34736,98908,193004,0,0,193004,gzserver,2349892,code,370997,17467,79632,180018,0,0
1786623426,2,1384208,12782544,2097132,0.00,0.00,0.00,0.04,19.06,0.15,0,0,707044,248.00,9,35008,165408,318416,0,0,318416,gzserver,2349384,code,551502,17664,146351,295080,0,0
1786623428,4,1304416,12862336,2097132,0.00,0.00,0.00,0.03,17.54,0.10,0,0,771916,240.70,8,35180,232416,344796,0,0,344796,gzserver,2349260,code,625257,17778,213166,310708,0,0
1786623429,5,1247320,12919432,2097132,0.00,0.00,0.00,0.03,16.79,0.00,0,0,838172,186.40,8,35180,298664,344804,0,0,344804,gzserver,2349116,code,691365,17778,279266,310714,0,0
1786623430,6,1189576,12977176,2097132,0.00,0.00,0.00,0.02,18.06,0.00,0,0,902980,188.90,8,35180,363404,344812,0,0,363404,stereo,2346184,code,756263,17777,344149,310717,0,0
1786623431,7,1133832,13032920,2097132,0.00,0.00,0.00,0.02,15.34,0.05,0,0,968400,191.90,8,35116,429144,344812,0,0,429144,stereo,2344512,code,821847,17766,409741,310772,0,0
1786623433,9,1029460,13137292,2097132,0.00,0.00,0.00,0.02,18.58,0.16,0,0,1254828,196.40,13,35740,606440,347308,0,0,536792,stereo,2342288,code,971734,16622,533887,307853,0,0
1786623434,10,881932,13284820,2097132,0.00,0.00,0.36,0.01,27.78,0.00,0,0,1387636,271.80,12,36464,702952,386296,0,0,538176,stereo,2340808,code,1118533,17290,633657,347806,0,0
1786623435,11,786460,13380292,2097132,0.00,0.00,0.36,0.01,30.33,0.05,0,0,1485168,296.60,12,37912,797180,387304,0,0,539524,stereo,2340672,code,1213812,18566,727547,347883,0,0
1786623436,12,703504,13463248,2097132,0.00,0.00,0.65,0.01,28.10,0.05,0,0,1578608,310.70,12,37928,890308,387308,0,0,539524,stereo,2340324,code,1306735,18581,820420,347865,0,0
1786623438,14,623476,13543276,2097132,0.00,0.00,0.90,0.01,28.21,0.00,0,0,1636172,321.30,12,37528,986528,350272,0,0,541424,stereo,2335600,code,1362506,18089,915133,310842,0,0
1786623439,15,537024,13629728,2097132,0.00,0.00,0.90,0.01,30.45,0.05,0,0,1722608,335.80,12,37504,1077244,346916,0,0,540160,stereo,2330292,code,1428951,17832,986330,307403,0,0
1786623440,16,515820,13650932,2097132,0.00,0.00,1.28,0.00,30.27,0.46,0,0,1670244,317.70,12,37368,1080316,291008,0,0,541300,stereo,2324804,code,1376535,17618,989386,251665,0,0
1786623441,17,556584,13610168,2097132,0.18,0.18,1.95,0.00,38.32,1.01,0,0,1662572,327.40,12,37408,1080828,282440,0,0,541460,stereo,2341716,code,1368559,17610,990464,242922,0,0
1786623443,19,529768,13636984,2097132,0.18,0.18,1.95,0.00,48.75,0.24,0,0,1664544,341.00,12,37408,1082820,282228,0,0,541460,stereo,2356840,code,1369523,17606,991404,242922,0,0
1786623444,20,536036,13630716,2097132,0.14,0.14,3.41,0.00,31.06,0.00,0,0,1663496,347.00,12,37408,1081760,282240,0,0,541632,stereo,2355360,code,1367348,17606,989228,242928,0,0
1786623445,21,544868,13621884,2097132,0.14,0.14,3.41,0.00,30.42,0.05,0,0,1663248,333.30,12,37412,1081504,282244,0,0,540776,stereo,2355164,code,1367452,17610,989316,242932,0,0
1786623446,22,540500,13626252,2097132,0.12,0.12,3.70,0.00,34.62,0.05,0,0,1665972,347.50,12,37428,1084204,282252,0,0,542576,stereo,2354468,code,1370039,17626,991888,242940,0,0
1786623448,24,547016,13619736,2097132,0.09,0.09,4.11,0.00,35.44,0.00,0,0,1665132,358.90,12,37428,1083364,282252,0,0,541716,stereo,2349752,code,1369197,17626,991048,242940,0,0
1786623449,25,550008,13616744,2097132,0.09,0.09,4.11,0.00,35.06,0.00,0,0,1664320,352.50,12,37428,1082464,282252,0,0,541716,stereo,2349764,code,1370973,17623,992829,242940,0,0
1786623450,26,526956,13639796,2097132,0.08,0.08,4.45,0.00,40.00,0.33,0,0,1667600,364.10,12,37660,1083796,282420,0,0,542732,stereo,2350144,code,1367780,17598,992180,242792,0,0
1786623452,28,527508,13639244,2097132,0.06,0.06,4.91,0.00,36.83,0.05,0,0,1668024,374.50,12,37660,1084000,282600,0,0,542036,stereo,2349912,code,1368764,17598,992946,242972,0,0
1786623453,29,519784,13646968,2097132,0.06,0.06,4.91,0.00,38.25,0.09,0,0,1667960,369.20,12,37660,1084024,282580,0,0,542036,stereo,2349888,code,1367985,17598,992204,242969,0,0
1786623454,30,530004,13636748,2097132,0.05,0.05,5.11,0.00,36.48,0.19,0,0,1668292,378.10,12,37660,1084228,282580,0,0,542128,stereo,2350272,code,1369861,17598,994071,242965,0,0
1786623456,32,550396,13616356,2097132,0.04,0.04,5.27,0.00,37.49,0.00,0,0,1664992,385.70,12,37608,1081764,282412,0,0,542012,stereo,2350244,code,1373030,17748,993798,243128,0,0
1786623457,33,548940,13617812,2097132,0.04,0.04,5.27,0.00,36.79,0.05,0,0,1666832,393.50,12,37608,1083604,282412,0,0,542056,stereo,2350240,code,1371752,17748,992510,243128,0,0
1786623458,34,550480,13616272,2097132,0.03,0.03,5.40,0.00,35.58,0.00,0,0,1665032,386.40,12,37608,1081804,282412,0,0,541156,stereo,2350364,code,1373179,17746,994857,243119,0,0
1786623459,35,541100,13625652,2097132,0.02,0.02,5.51,0.00,36.39,0.09,0,0,1666832,391.60,12,37608,1083604,282412,0,0,542056,stereo,2350512,code,1372307,17748,993066,243128,0,0
1786623461,37,1586504,12580248,2097132,0.02,0.02,5.51,0.00,26.84,0.53,0,0,326484,84.60,2,0,0,290104,0,0,290104,gzserver,2348128,code,306881,0,0,278247,0,0
1786623462,38,1562752,12604000,2097132,0.02,0.02,5.05,0.00,8.94,0.63,0,0,326484,80.20,2,0,0,290104,0,0,290104,gzserver,2347844,code,306878,0,0,278245,0,0
1786623463,39,1532072,12634680,2097132,0.01,0.01,4.14,0.00,14.26,0.11,0,0,326484,78.20,2,0,0,290104,0,0,290104,gzserver,2347392,code,306874,0,0,278241,0,0
