epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm,group_pss_kib,server_pss_kib,orb_pss_kib,gazebo_pss_kib,rviz_pss_kib,web_pss_kib,orb_pss_anon_kib,orb_pss_file_kib,orb_pss_shmem_kib
1786879226,0,7922312,6244440,1168528,0.00,0.00,0.00,0.00,17.39,0.00,0,0,16544,0.00,1,0,0,0,0,0,16544,ros2,845812,chrome,21578,0,0,0,0,0,0,0,0
1786879227,1,7609248,6557504,1168528,0.00,0.00,0.00,0.00,36.04,0.66,27,0,702628,421.00,13,37452,92896,72256,156212,84264,156212,rviz2,845812,chrome,412601,19128,65532,29805,115416,51197,47316,18189,27
1786879228,2,7327536,6839216,1168528,0.00,0.00,0.54,0.00,42.64,0.25,22,0,784632,280.50,14,37972,131992,72256,195572,66564,195572,rviz2,845812,chrome,424969,18541,90717,29842,110776,41531,69500,20629,587
1786879229,3,7130224,7036528,1168528,0.00,0.00,0.54,0.00,29.12,0.10,0,0,748140,148.60,11,38176,138032,72256,195808,66728,195808,rviz2,845812,chrome,423113,18885,102419,29845,105988,42070,79696,21896,826
1786879231,5,7103224,7063528,1168528,0.00,0.00,0.80,0.00,26.04,0.05,15,0,755032,145.00,11,38180,144416,72256,196312,66728,196312,rviz2,845812,chrome,424336,18889,103367,29846,106254,42072,80644,21896,826
1786879232,6,7134060,7032692,1168528,0.00,0.00,0.80,0.00,19.81,0.00,0,0,755544,139.20,11,38180,144928,72256,196312,66728,196312,rviz2,845812,chrome,424339,18889,103371,29846,106251,42071,80648,21896,826
1786879233,7,7142672,7024080,1168528,0.00,0.00,1.02,0.00,24.35,0.05,0,0,755700,136.20,11,38116,145440,72256,196404,66664,196404,rviz2,845812,chrome,424019,18882,102944,29846,106410,42065,80196,21896,852
1786879234,8,7132500,7034252,1168528,0.00,0.00,1.01,0.00,25.16,0.00,19,0,927828,174.90,16,38372,196116,72256,197912,67136,197912,rviz2,845812,chrome,487909,18430,129897,28936,106983,41929,103192,25884,821
1786879236,10,7029012,7137740,1168528,0.00,0.00,1.01,0.00,34.07,0.05,18,0,1028160,235.70,16,39364,278544,72256,198880,67748,198880,rviz2,845812,chrome,542036,19139,180904,28944,107891,42490,152916,26607,1381
1786879237,11,6994912,7171840,1168528,0.00,0.00,2.10,0.00,31.66,0.00,0,0,1015692,220.90,15,39560,292296,72256,199156,67924,199156,rviz2,845812,chrome,551733,19138,190561,28944,107890,42489,162464,26657,1439
1786879238,12,6998616,7168136,1168528,0.00,0.00,2.26,0.00,29.21,0.05,0,0,1015664,224.20,15,39560,292144,72256,199156,67924,199156,rviz2,845812,chrome,550129,19137,188939,28945,107890,42490,160856,26657,1424
1786879240,14,7026204,7140548,1168528,0.00,0.00,2.26,0.00,27.76,0.05,0,0,1015528,201.20,15,39560,292008,72256,199156,67924,199156,rviz2,845808,chrome,552807,19138,191603,28950,107895,42490,163508,26669,1426
1786879241,15,7038736,7128016,1168528,0.00,0.00,2.39,0.00,31.49,0.00,0,0,1015828,203.70,15,39496,292864,72256,199088,67860,199088,rviz2,845808,chrome,550393,19119,190647,28941,107843,42064,162556,26621,1468
1786879242,16,7043268,7123484,1168528,0.00,0.00,3.05,0.00,34.63,0.00,0,0,1018300,210.30,15,39772,292856,72256,199300,68056,199300,rviz2,845808,chrome,549451,19148,189724,28932,107813,42063,161860,26486,1377
1786879243,17,7042536,7124216,1168528,0.00,0.00,3.05,0.00,29.93,0.05,0,0,1018324,197.80,15,39772,292860,72256,199320,68056,199320,rviz2,845808,chrome,548762,19148,189028,28932,107816,42063,161164,26486,1377
1786879245,19,7030304,7136448,1168528,0.00,0.00,3.22,0.00,30.39,0.00,0,0,1018596,200.00,15,39812,293092,72256,199320,68056,199320,rviz2,845808,chrome,550768,19153,191027,28932,107825,42063,163164,26486,1375
1786879246,20,7080984,7085768,1168528,0.00,0.00,3.22,0.00,29.05,0.00,0,0,1018628,201.30,15,39812,293124,72256,199320,68056,199320,rviz2,845808,chrome,550871,19153,191127,28932,107821,42063,163264,26486,1375
1786879247,21,7088112,7078640,1168528,0.00,0.00,3.36,0.00,25.00,0.05,0,0,1018140,201.90,15,39812,292448,72256,199508,68056,199508,rviz2,845808,chrome,551837,19153,191907,28932,108013,42063,164044,26486,1375
