epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm,group_pss_kib,server_pss_kib,orb_pss_kib,gazebo_pss_kib,rviz_pss_kib,web_pss_kib,orb_pss_anon_kib,orb_pss_file_kib,orb_pss_shmem_kib
1787228699,0,6808220,7358532,1588048,0.00,0.00,0.00,0.00,19.15,0.00,0,0,17040,0.00,1,0,0,0,0,0,17040,ros2,1303304,chrome,20644,0,0,0,0,0,0,0,0
1787228700,1,6395100,7771652,1588048,0.00,0.00,0.00,0.00,41.25,0.06,0,0,767988,395.00,12,38372,127376,72056,198392,66156,198392,rviz2,1303216,chrome,430813,19100,90263,29408,117365,41260,69188,20481,594
1787228701,2,6223656,7943096,1589560,0.00,0.00,0.36,0.00,20.19,0.00,0,352,775684,226.50,12,38656,132176,72056,198692,66416,198692,rviz2,1303216,chrome,418695,19171,90418,29386,105060,41276,69516,20305,596
1787228702,3,6095712,8071040,1589560,0.00,0.00,0.36,0.00,19.59,0.65,0,27,758232,133.90,11,38860,144000,72056,198892,66564,198892,rviz2,1303216,chrome,420207,19492,102018,29362,104299,41567,79596,21586,836
1787228703,4,6018760,8147992,1589560,0.00,0.00,0.47,0.00,15.72,0.00,0,0,756812,126.20,11,38860,142580,72056,198892,66564,198892,rviz2,1303216,chrome,420170,19492,101986,29362,104299,41567,79564,21586,836
1787228704,5,6047356,8119396,1589560,0.00,0.00,0.75,0.00,16.84,0.05,0,0,758504,122.10,11,38860,144272,72056,198892,66564,198892,rviz2,1303216,chrome,420474,19492,102290,29362,104299,41565,79868,21586,836
1787228706,7,6062604,8104148,1589560,0.00,0.00,0.75,0.00,12.97,0.00,0,0,757160,117.80,11,38796,143436,72056,198832,66500,198832,rviz2,1303216,chrome,419259,19485,101112,29362,104297,41560,78696,21586,829
1787228707,8,6068884,8097868,1589560,0.00,0.00,0.79,0.00,12.48,0.05,0,0,758100,115.60,11,38796,144324,72056,198832,66500,198832,rviz2,1303216,chrome,414435,19168,100586,29160,103972,41386,80856,18900,830
1787228708,9,5949824,8216928,1589560,0.00,0.00,0.79,0.00,27.35,0.00,0,0,1034984,183.90,16,40048,279788,72056,200164,67632,200164,rviz2,1303216,chrome,544099,19429,178123,28496,104348,41734,150924,25813,1385
1787228709,10,5929228,8237524,1589560,0.00,0.00,1.74,0.00,21.68,0.00,0,0,1016980,176.20,15,40240,291224,72056,200408,67784,200408,rviz2,1303216,chrome,545973,19734,188840,28503,104710,41998,161412,25987,1440
1787228711,12,5922756,8243996,1589560,0.00,0.00,1.96,0.00,20.00,0.05,0,0,1017148,180.50,15,40240,291392,72056,200408,67784,200408,rviz2,1302824,chrome,546892,19734,189753,28504,104710,41998,162324,25987,1440
1787228712,13,5967680,8199072,1589560,0.00,0.00,1.96,0.00,24.05,0.00,0,0,1018024,184.60,15,40240,292264,72056,200408,67784,200408,rviz2,1302824,chrome,547638,19734,190500,28504,104710,41998,163072,25987,1440
1787228713,14,5975688,8191064,1589560,0.00,0.00,2.33,0.00,24.04,0.00,0,0,1017788,169.20,15,40240,292540,72056,200344,67720,200344,rviz2,1302824,chrome,547506,19749,190386,28504,104704,41995,162932,25987,1467
