epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm,group_pss_kib,server_pss_kib,orb_pss_kib,gazebo_pss_kib,rviz_pss_kib,web_pss_kib,orb_pss_anon_kib,orb_pss_file_kib,orb_pss_shmem_kib
1787416888,0,5906636,8260116,1537252,0.00,0.00,0.00,0.00,23.53,0.00,0,0,16976,0.00,1,0,0,0,0,0,16976,ros2,826640,chrome,21237,0,0,0,0,0,0,0,0
1787416889,1,5446092,8720660,1537252,0.00,0.00,0.00,0.00,46.02,0.06,14,0,768120,397.00,12,38864,125684,72180,201016,66048,201016,rviz2,826640,chrome,428781,19729,89513,29372,115890,41316,68416,20545,551
1787416891,3,5264128,8902624,1537252,0.00,0.00,0.36,0.00,23.37,0.05,11,0,778748,226.50,12,39324,132184,72180,201488,66488,201488,rviz2,817604,chrome,418727,19911,90454,29335,104367,41418,69492,20360,602
1787416892,4,5165812,9000940,1537252,0.00,0.00,0.47,0.00,20.11,0.05,0,0,761500,175.00,11,39520,144032,72180,201692,66752,201692,rviz2,817604,chrome,420296,20218,102032,29345,103571,41833,79540,21649,842
1787416893,5,5144144,9022608,1537252,0.00,0.00,0.47,0.00,13.72,0.00,0,0,762036,154.40,11,39524,144564,72180,201692,66752,201692,rviz2,817604,chrome,420338,20218,102068,29345,103580,41830,79576,21649,842
1787416894,6,5234172,8932580,1537252,0.00,0.00,0.57,0.00,19.40,0.00,0,0,761648,117.20,11,39524,144176,72180,201692,66752,201692,rviz2,817604,chrome,420138,20218,101872,29345,103574,41832,79380,21649,842
1787416895,7,5260748,8906004,1536996,0.00,0.00,0.57,0.00,16.08,0.05,22,0,762404,112.40,11,39588,145188,72180,201628,66688,201628,rviz2,817604,chrome,420434,20260,102146,29345,103567,41825,79684,21649,813
1787416897,9,5240548,8926204,1536996,0.00,0.00,0.65,0.00,17.75,0.05,0,0,761052,109.60,11,39588,143736,72180,201628,66688,201628,rviz2,817604,chrome,413134,20029,99144,29118,103243,41710,78800,19551,793
1787416898,10,5228904,8937848,1536996,0.00,0.00,1.43,0.00,36.53,0.05,4,0,1038112,270.50,16,40860,279096,72180,202884,67876,202884,rviz2,817604,chrome,534548,20550,178528,28466,103592,42078,151204,25926,1397
1787416899,11,5226976,8939776,1536996,0.00,0.00,1.43,0.00,24.81,0.00,25,0,1022188,221.50,15,41180,291520,72180,203804,68024,203804,rviz2,817604,chrome,547536,20590,189314,28474,104474,42283,161912,25973,1428
1787416900,12,5221928,8944824,1536996,0.00,0.00,1.72,0.00,22.37,0.05,0,0,1023500,181.90,15,41116,290768,72180,205932,68024,205932,rviz2,817604,chrome,547138,20526,187886,28474,105569,42284,160484,25973,1428
1787416902,14,5265064,8901688,1536996,0.00,0.00,1.72,0.00,21.56,0.00,0,0,1024948,184.40,15,41116,292216,72180,205932,68024,205932,rviz2,816112,chrome,548796,20525,189536,28474,105564,42287,162136,25971,1428
1787416903,15,5264676,8902076,1536996,0.00,0.00,1.77,0.00,22.19,0.00,0,0,1023944,186.80,15,41052,291672,72180,205868,67960,205868,rviz2,816112,chrome,548117,20521,188879,28474,105562,42280,161456,25971,1451
1787416904,16,5254432,8912320,1536996,0.00,0.00,1.99,0.00,25.45,0.05,0,0,1026460,193.00,15,41260,291856,72180,206120,68156,206120,rviz2,816112,chrome,547961,20520,190095,28459,105511,41904,162892,25795,1408
1787416905,17,5244884,8921868,1536996,0.00,0.00,1.99,0.00,22.37,0.00,0,0,1028072,178.30,15,41260,293416,72180,206120,68156,206120,rviz2,816112,chrome,547773,20520,189855,28459,105511,41906,162652,25794,1408
1787416906,18,5256224,8910528,1536996,0.00,0.00,2.17,0.00,22.26,0.00,0,0,1026964,181.30,15,41324,292020,72180,206120,68156,206120,rviz2,816112,chrome,548762,20531,190805,28459,105508,41904,163632,25794,1378
1787416908,20,5263880,8902872,1536996,0.00,0.00,2.17,0.00,23.65,0.05,0,0,1028848,183.50,15,41324,293540,72180,206548,68156,206548,rviz2,816112,chrome,548559,20531,190329,28459,105846,41906,163156,25794,1378
1787416909,21,5260252,8906500,1536996,0.00,0.00,2.32,0.00,22.05,0.00,0,0,1028620,185.00,15,41452,293056,72180,206548,68156,206548,rviz2,816112,chrome,549480,20552,191211,28459,105849,41904,164064,25794,1352
1787416910,22,5274904,8891848,1536996,0.00,0.00,2.44,0.00,21.10,0.05,0,0,1029292,175.10,15,41452,293568,72180,206548,68156,206548,rviz2,816112,chrome,549114,20549,190829,28459,105850,41905,163688,25794,1346
1787416911,23,5279716,8887036,1536996,0.00,0.00,2.44,0.00,22.11,0.05,0,0,1029092,177.30,15,41516,293076,72180,206548,68156,206548,rviz2,814272,chrome,548636,20560,190311,28459,105847,41905,163196,25794,1320
1787416913,25,5307512,8859240,1536996,0.00,0.00,2.36,0.00,20.85,0.00,0,0,1030112,178.70,15,41516,294096,72180,206548,68156,206548,rviz2,814272,chrome,549713,20561,191379,28465,105847,41905,164252,25806,1320
1787416914,26,5101424,9065328,1536996,0.00,0.00,2.66,0.00,36.08,0.00,0,0,1030264,179.50,15,41516,294248,72180,206548,68156,206548,rviz2,814272,chrome,548953,20561,190611,28465,105853,41903,163484,25806,1320
1787416915,27,5151580,9015172,1536996,0.00,0.00,2.66,0.00,20.22,0.05,0,0,1029640,180.70,15,41516,293496,72180,206548,68156,206548,rviz2,814272,chrome,548588,20559,190235,28465,105857,41905,163112,25806,1316
1787416916,28,5227856,8938896,1536996,0.00,0.00,2.72,0.00,21.12,0.00,0,0,1029848,174.10,15,41516,293512,72180,206548,68156,206548,rviz2,814272,chrome,549688,20554,191323,28465,105857,41904,164208,25806,1308
1787416918,30,5220156,8946596,1536996,0.00,0.00,2.72,0.00,20.89,0.05,0,0,1030224,174.80,15,41516,293888,72180,206548,68156,206548,rviz2,814272,chrome,548103,20554,189731,28465,105859,41905,162616,25806,1308
1787416919,31,5246812,8919940,1536996,0.00,0.00,2.77,0.00,23.82,0.00,0,0,1029908,175.70,15,41516,293508,72180,206548,68156,206548,rviz2,814272,chrome,549984,20553,191628,28465,105844,41905,164516,25806,1304
1787416920,32,5253536,8913216,1536996,0.00,0.00,2.81,0.00,21.87,0.00,0,0,1031684,176.30,15,41564,294012,72180,206184,68204,206184,rviz2,814272,chrome,548925,20600,190351,28465,105487,41954,163244,25801,1304
1787416921,33,5236828,8929924,1536996,0.00,0.00,2.81,0.00,26.15,0.05,0,0,1036028,171.20,15,44688,295176,72180,206184,68256,206184,rviz2,814272,chrome,552437,23704,190711,28465,105483,42002,162576,26849,1284
1787416923,35,5367528,8799224,1536996,0.00,0.00,3.03,0.00,27.66,0.00,0,0,1039748,173.50,15,45920,297660,72180,206184,68260,206184,rviz2,814272,chrome,557382,24990,194361,28465,105482,42010,166180,26917,1262
1787416924,36,5367556,8799196,1536996,0.00,0.00,3.02,0.00,22.80,0.00,0,0,1041400,175.50,15,46480,298676,72180,206184,68272,206184,rviz2,814272,chrome,557950,25473,194426,28465,105492,42019,166184,26981,1260
1787416925,37,5358404,8808348,1536996,0.00,0.00,3.02,0.00,25.74,0.05,0,0,1043508,178.00,15,46828,300292,72180,206184,68288,206184,rviz2,814272,chrome,560307,25786,196435,28465,105493,42036,168212,27001,1222
1787416926,38,5339492,8827260,1536996,0.00,0.00,3.01,0.00,26.72,0.00,0,0,1046240,175.20,15,48104,301728,72180,206184,68304,206184,rviz2,814272,chrome,561916,26966,196851,28465,105488,42052,168724,27001,1126
1787416928,40,5327348,8839404,1536996,0.00,0.00,3.01,0.00,30.09,0.05,0,0,1051536,178.70,15,49964,305128,72180,206184,68336,206184,rviz2,814272,chrome,567789,28698,200962,28465,105487,42084,172964,26999,998
1787416929,41,5310720,8856032,1536996,0.00,0.00,3.19,0.00,27.74,0.00,0,0,1058528,182.00,15,52768,309292,72180,206184,68360,206184,rviz2,814272,chrome,575204,31493,205535,28465,105494,42119,177652,27000,882
1787416930,42,5319588,8847164,1536996,0.00,0.00,3.16,0.00,29.37,0.00,1,0,1062584,184.70,15,53848,312252,72180,206184,68376,206184,rviz2,814272,chrome,578399,32197,208427,28464,105485,41977,180592,27000,834
1787416931,43,5306188,8860564,1536996,0.00,0.00,3.16,0.00,33.09,0.05,0,0,1063908,183.50,15,55328,312080,72180,206184,68392,206184,rviz2,814272,chrome,582013,33669,210151,28465,105492,42140,182316,27000,834
1787416933,45,5299944,8866808,1536996,0.00,0.00,3.31,0.00,26.76,0.00,0,0,1070960,186.30,15,56740,317692,72180,206184,68420,206184,rviz2,814272,chrome,586592,35017,213355,28465,105491,42168,185516,27000,838
1787416934,46,5303132,8863620,1536996,0.00,0.00,3.25,0.00,29.66,0.00,0,0,1077164,189.70,15,58924,321684,72180,206184,68440,206184,rviz2,814272,chrome,594708,37201,219271,28465,105484,42190,191432,27000,838
