epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm
1786552433,0,2390196,11776556,2097052,0.00,0.00,0.00,0.00,21.13,0.00,0,0,16376,0.00,1,0,0,0,0,0,16376,ros2,2104196,code
1786552434,1,2149656,12017096,2097052,0.00,0.00,0.00,0.36,28.82,0.75,0,0,655764,58.00,15,35416,167172,71588,0,0,83740,stereo,2105924,code
1786552435,2,1908436,12258316,2097036,0.00,0.00,0.54,0.29,31.53,0.56,0,0,783220,616.00,15,35652,283952,71588,0,0,141984,stereo,2105980,code
1786552436,3,1562828,12603924,2097036,0.00,0.00,0.54,0.29,35.60,0.39,0,0,869980,294.70,14,35876,398592,71588,0,0,199576,stereo,2105980,code
1786552437,4,1343600,12823152,2097036,0.00,0.00,0.80,0.24,36.96,0.11,0,0,953460,284.70,13,36068,511304,71588,0,0,255744,stereo,2107436,code
1786552438,5,1225496,12941256,2097036,0.00,0.00,0.80,0.24,29.31,0.00,0,0,1068976,279.50,13,36072,626816,71588,0,0,313596,stereo,2107484,code
1786552439,6,1109932,13056820,2097036,0.00,0.00,0.66,0.19,27.95,0.00,0,0,1183180,275.30,13,36132,741856,71588,0,0,372088,stereo,2107372,code
1786552440,7,1042408,13124344,2097036,0.00,0.00,0.66,0.19,29.01,0.06,0,0,1296888,271.20,13,36004,855820,71588,0,0,428156,stereo,2105832,code
1786552441,8,884740,13282012,2097036,0.00,0.00,0.54,0.16,29.44,0.06,0,0,1469472,266.60,13,36004,1028328,71588,0,0,516980,stereo,2101100,code
1786552443,10,855692,13311060,2097036,0.00,0.00,0.54,0.16,23.37,0.06,0,0,1511332,258.80,13,36248,1068220,71588,0,0,550812,stereo,2098896,code
1786552444,11,870624,13296128,2097032,0.00,0.00,0.98,0.13,34.21,0.11,0,0,1519840,254.60,13,38400,1072248,71588,0,0,552536,stereo,2095968,code
