epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm
1786622296,0,1821520,12345232,2097052,0.00,0.00,0.00,0.00,16.67,1.39,0,0,16344,0.00,1,0,0,0,0,0,16344,ros2,2334880,code
1786622297,1,1640944,12525808,2097052,0.00,0.00,0.00,0.18,27.42,1.84,0,0,638240,353.00,15,36008,154436,71868,0,0,77308,stereo,2332524,code
1786622298,2,1352960,12813792,2097040,0.00,0.00,0.00,0.18,33.73,0.79,3,0,769928,312.00,15,36132,270348,71868,0,0,135268,stereo,2332344,code
1786622300,4,1050952,13115800,2097040,0.00,0.00,0.54,0.32,34.57,0.28,0,0,884292,300.20,15,36456,383612,71868,0,0,192132,stereo,2333076,code
1786622301,5,916320,13250432,2097040,0.00,0.00,0.54,0.32,41.21,0.17,0,0,940968,286.80,13,36748,496484,71868,0,0,248608,stereo,2329972,code
1786622302,6,782356,13384396,2097040,0.18,0.18,0.80,0.26,29.24,0.11,0,0,1054280,280.80,13,36764,609780,71868,0,0,304976,stereo,2329736,code
1786622303,7,693484,13473268,2097040,0.14,0.14,0.66,0.22,30.00,0.06,0,0,1167760,275.40,13,36680,724612,71616,0,0,362404,stereo,2321328,code
1786622304,8,592080,13574672,2097040,0.14,0.14,0.66,0.22,32.32,0.11,0,0,1276096,238.30,13,36476,836976,69960,0,0,419324,stereo,2317772,code
1786622305,9,438376,13728376,2097040,0.30,0.30,0.90,0.18,36.75,0.17,0,0,1304276,237.50,13,25184,983180,35648,0,0,492872,stereo,2307216,code
1786622306,10,371720,13795032,2097040,0.30,0.30,0.90,0.18,30.08,0.82,0,0,1357108,240.00,13,25264,1039172,35392,0,0,521208,stereo,2306612,code
