epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm,group_pss_kib,server_pss_kib,orb_pss_kib,gazebo_pss_kib,rviz_pss_kib,web_pss_kib,orb_pss_anon_kib,orb_pss_file_kib,orb_pss_shmem_kib
1787424780,0,5415948,8750804,2096764,0.00,0.00,0.00,0.00,34.00,0.00,0,0,16516,0.00,1,0,0,0,0,0,16516,ros2,1185000,chrome,20895,0,0,0,0,0,0,0,0
1787424781,1,5012164,9154588,2096760,0.00,0.00,0.00,0.00,58.10,1.53,0,0,721756,39.00,13,38732,103792,72340,161328,84668,161328,rviz2,1185000,chrome,408830,20288,76993,29693,107705,41219,58564,18404,24
1787424782,2,4712976,9453776,2096616,0.18,0.18,1.08,0.18,40.36,0.26,40,0,778496,252.10,12,39276,132108,72340,201076,66624,201076,rviz2,1185000,chrome,420124,19780,90472,29625,105271,41521,69500,20370,602
1787424784,4,4537492,9629260,2096616,0.18,0.18,1.08,0.18,25.98,0.11,0,0,760456,189.20,11,39468,143328,72340,201284,66764,201284,rviz2,1185000,chrome,420578,20132,101999,29573,103626,41780,79520,21638,840
1787424785,5,4550820,9615932,2096608,0.14,0.14,1.07,0.14,17.79,0.05,0,0,760740,166.00,11,39472,143608,72340,201284,66764,201284,rviz2,1179360,chrome,420356,20136,101771,29573,103622,41784,79292,21638,840
1787424786,6,4582888,9583864,2096608,0.12,0.12,1.05,0.12,20.86,0.00,0,0,761444,154.20,11,39472,143836,72340,201760,66764,201760,rviz2,1179360,chrome,420639,20136,101619,29573,104049,41787,79140,21638,840
1787424787,7,4621184,9545568,2096608,0.12,0.12,1.05,0.12,13.25,0.05,0,0,761440,143.90,11,39408,144340,72340,201700,66700,201700,rviz2,1179360,chrome,421493,20129,102528,29573,104044,41779,80024,21638,865
1787424788,8,4676208,9490544,2096608,0.09,0.09,1.04,0.10,13.90,0.00,0,0,761724,119.50,11,39408,144376,72340,201700,66700,201700,rviz2,1179360,chrome,481142,19966,123669,29314,103761,41577,94488,28328,852
1787424790,10,4536324,9630428,2096608,0.09,0.09,1.04,0.10,35.47,0.00,0,0,1007904,284.80,15,40820,279040,72340,203176,68012,203176,rviz2,1180908,chrome,536344,20354,178906,28693,104327,42206,151320,26154,1432
1787424791,11,4511904,9654848,2096608,0.08,0.08,2.12,0.08,20.75,0.05,0,0,1021264,233.10,15,40828,292280,72340,203176,68012,203176,rviz2,1180908,chrome,548356,20358,190874,28693,104314,42204,163180,26194,1500
1787424792,12,4516992,9649760,2096608,0.06,0.06,2.28,0.06,22.82,0.05,0,0,1020908,223.50,15,40892,291780,72340,203176,68012,203176,rviz2,1180908,chrome,546994,20371,189475,28693,104310,42212,161800,26194,1481
1787424793,13,4513520,9653232,2096608,0.06,0.06,2.28,0.06,22.55,0.00,0,0,1022884,189.70,15,40900,291624,72340,205296,68012,205296,rviz2,1180908,chrome,549305,20372,190706,28693,105395,42206,163032,26194,1480
1787424795,15,4565664,9601088,2096608,0.05,0.05,2.41,0.05,22.42,0.00,0,0,1023520,190.00,15,40836,292644,72340,205296,68012,205296,rviz2,1174856,chrome,548898,20368,190276,28693,105396,42214,162596,26194,1486
1787424796,16,4543616,9623136,2096608,0.04,0.04,2.52,0.04,24.68,0.05,0,0,1024068,192.00,15,41092,292232,72340,205280,67948,205280,rviz2,1174856,chrome,547021,20399,190076,28678,105238,41763,162636,26014,1425
1787424797,17,4537608,9629144,2096608,0.04,0.04,2.52,0.04,24.20,0.00,0,0,1024532,193.50,15,41092,291684,72340,205488,68144,205488,rviz2,1174856,chrome,548479,20387,191308,28678,105333,41849,163868,26014,1425
1787424798,18,4687796,9478956,2096608,0.03,0.03,2.60,0.03,28.59,0.05,0,0,1027196,178.40,15,41092,293608,72340,205488,68144,205488,rviz2,1174856,chrome,548541,20379,191129,28674,105328,41843,163728,26004,1396
1787424799,19,4767132,9399620,2096608,0.03,0.03,2.60,0.03,26.74,0.00,0,0,1026052,179.90,15,41092,292400,72340,205488,68144,205488,rviz2,1174856,chrome,547444,20379,190072,28674,105328,41843,162688,26004,1379
1787424801,21,4795952,9370800,2096608,0.02,0.02,2.85,0.02,21.93,0.05,0,0,1026756,181.00,15,41092,292908,72340,205488,68144,205488,rviz2,1174856,chrome,548978,20378,191577,28674,105323,41843,164212,26004,1361
1787424802,22,4818576,9348176,2096608,0.02,0.02,2.88,0.02,22.64,0.05,0,0,1027656,181.80,15,41092,293808,72340,205488,68144,205488,rviz2,1174856,chrome,547732,20378,190320,28674,105327,41848,162956,26004,1359
1787424803,23,4836816,9329936,2096608,0.02,0.02,2.88,0.02,22.58,0.00,0,0,1027232,173.60,15,41156,293104,72340,205488,68144,205488,rviz2,1174856,chrome,549187,20385,191756,28674,105326,41846,164404,26004,1347
1787424804,24,4838412,9328340,2096608,0.01,0.01,2.90,0.01,20.70,0.00,0,0,1027788,174.50,15,41156,293660,72340,205488,68144,205488,rviz2,1173296,chrome,549243,20385,191808,28674,105327,41847,164456,26004,1347
1787424806,26,4852132,9314620,2096608,0.01,0.01,2.90,0.01,20.77,0.00,0,0,1028876,175.40,15,41156,294748,72340,205488,68144,205488,rviz2,1173296,chrome,549510,20385,192080,28674,105327,41845,164728,26004,1347
1787424807,27,4870740,9296012,2096608,0.01,0.01,2.92,0.01,21.60,0.00,0,0,1029012,176.10,15,41156,294756,72340,205488,68144,205488,rviz2,1173296,chrome,548488,20385,191042,28674,105322,41847,163700,26004,1337
1787424808,28,4871016,9295736,2096608,0.01,0.01,2.93,0.01,21.38,0.05,0,0,1027240,178.00,15,41156,292984,72340,205488,68144,205488,rviz2,1173296,chrome,550837,20385,193398,28674,105322,41844,166056,26004,1337
1787424809,29,4861804,9304948,2096608,0.01,0.01,2.93,0.01,21.34,0.00,0,0,1026396,171.70,15,41160,292136,72340,205488,68144,205488,rviz2,1173296,chrome,550511,20389,193058,28674,105327,41845,165716,26004,1337
1787424811,31,4868300,9298452,2096608,0.00,0.00,2.94,0.00,22.14,0.00,0,0,1028812,172.80,15,41160,294960,72340,205080,68144,205080,rviz2,1173296,chrome,548817,20389,191778,28674,104915,41844,164436,26004,1337
1787424812,32,4884936,9281816,2096608,0.00,0.00,2.95,0.00,23.34,0.05,0,0,1030804,173.80,15,41204,294960,72340,205316,68192,205316,rviz2,1173296,chrome,549116,20432,191193,28673,105151,41894,163856,26000,1337
1787424813,33,4885260,9281492,2096608,0.00,0.00,2.95,0.00,21.71,0.00,0,0,1031112,174.30,15,41204,295268,72340,205316,68192,205316,rviz2,1173296,chrome,551626,20432,193705,28673,105147,41895,166368,26000,1337
1787424814,34,4889348,9277404,2096608,0.00,0.00,2.96,0.00,21.01,0.00,0,0,1031352,169.40,15,41204,295508,72340,205316,68192,205316,rviz2,1173296,chrome,549923,20432,192045,28673,105109,41890,164708,26000,1337
1787424816,36,4881368,9285384,2096608,0.00,0.00,2.96,0.00,22.09,0.05,0,0,1038224,171.30,15,45716,297808,72340,205316,68244,205316,rviz2,1173296,chrome,557376,24946,194915,28673,105110,41948,166576,27066,1273
1787424817,37,4866468,9300284,2096604,0.00,0.00,2.97,0.00,27.20,0.00,0,0,1039804,174.00,15,45936,299096,72340,205316,68252,205316,rviz2,1173296,chrome,558517,25097,195893,28673,105109,41955,167492,27130,1271
1787424818,38,4861068,9305684,2096604,0.00,0.00,2.97,0.00,29.04,0.05,0,0,1043560,177.40,15,47108,301536,72340,205316,68268,205316,rviz2,1173296,chrome,561798,26181,198061,28673,105113,41969,169712,27150,1197
1787424819,39,4850168,9316584,2096604,0.00,0.00,2.97,0.00,32.84,0.00,0,0,1047656,175.10,15,48672,304040,72340,205316,68292,205316,rviz2,1173296,chrome,566612,27673,201357,28673,105110,41992,173104,27150,1101
1787424821,41,4838964,9327788,2096604,0.00,0.00,3.34,0.00,28.20,0.00,0,0,1054532,178.50,15,50216,309232,72340,205316,68308,205316,rviz2,1173296,chrome,574017,30401,206003,28673,105113,42015,177908,27150,945
1787424822,42,4837528,9329224,2096604,0.00,0.00,3.46,0.00,28.68,0.05,0,0,1056388,181.80,15,52288,308952,72340,205348,68340,205348,rviz2,1173296,chrome,577816,31049,209095,28673,105141,42043,181084,27150,861
1787424823,43,4843796,9322956,2096600,0.00,0.00,3.46,0.00,30.66,0.00,0,0,1066048,185.80,15,55500,315360,72340,205348,68380,205348,rviz2,1173296,chrome,583591,33981,211903,28673,105140,42082,183780,27262,861
1787424824,44,4845192,9321560,2096600,0.00,0.00,3.56,0.00,25.31,0.00,0,0,1068868,183.30,15,56256,317288,72340,205368,68404,205368,rviz2,1173248,chrome,586326,34736,213853,28673,105142,42107,185732,27262,858
1787424826,46,4837432,9329320,2096600,0.00,0.00,3.56,0.00,24.60,0.05,0,0,1071844,185.60,15,56856,319644,72340,205368,68424,205368,rviz2,1173248,chrome,589474,35502,216217,28673,105140,42126,188092,27265,858
1787424827,47,4832056,9334696,2096600,0.00,0.00,3.64,0.00,29.18,0.00,0,0,1076896,188.30,15,59204,322204,72340,205368,68444,205368,rviz2,1173248,chrome,593018,37622,217612,28673,105140,42147,189496,27266,849
1787424828,48,4840944,9325808,2096600,0.00,0.00,3.70,0.00,28.34,0.05,0,0,1079840,190.40,15,59560,324564,72340,205368,68456,205368,rviz2,1173248,chrome,596606,38265,220543,28673,105142,42159,192440,27266,837
1787424829,49,4818160,9348592,2096600,0.00,0.00,3.70,0.00,29.69,0.00,0,0,1083464,189.00,15,61032,326544,72340,205416,68480,205416,rviz2,1173248,chrome,599630,39350,222438,28673,105158,42182,194332,27266,840
1787424830,50,4800668,9366084,2096600,0.00,0.00,3.75,0.00,30.95,0.00,0,0,1088880,192.40,15,62848,330124,72340,205428,68488,205428,rviz2,1173248,chrome,605547,41166,226526,28673,105158,42193,198420,27266,840
1787424832,52,4806368,9360384,2096600,0.00,0.00,3.80,0.00,31.03,0.05,0,0,1092276,194.90,15,64504,331860,72340,205428,68492,205428,rviz2,1173248,chrome,608727,42822,228054,28673,105158,42193,199948,27266,840
1787424833,53,4808536,9358216,2096600,0.00,0.00,3.80,0.00,30.16,0.00,0,0,1095608,198.10,15,65556,334136,72340,205428,68496,205428,rviz2,1173248,chrome,613266,43874,231534,28673,105163,42194,203428,27266,840
1787424834,54,4797288,9369464,2096600,0.00,0.00,3.83,0.00,31.54,0.00,0,0,1101648,197.70,15,66616,338988,72340,205428,68496,205428,rviz2,1173248,chrome,617699,44940,234882,28673,105159,42204,206780,27266,835
1787424836,56,4796968,9369784,2096600,0.00,0.00,3.83,0.00,34.53,0.05,0,0,1102896,201.30,15,67888,338960,72340,205428,68500,205428,rviz2,1173248,chrome,619792,46764,235158,28673,105158,42200,207056,27266,835
1787424837,57,4784280,9382472,2096600,0.00,0.00,3.86,0.00,33.27,0.00,0,0,1107332,204.80,15,69420,341852,72340,205428,68508,205428,rviz2,1173248,chrome,623293,47678,237740,28673,105158,42208,209640,27266,834
1787424838,58,4774168,9392584,2096600,0.00,0.00,3.89,0.00,32.36,0.00,0,0,1111368,208.50,15,70228,345012,72340,205428,68508,205428,rviz2,1173248,chrome,627277,48486,240899,28673,105160,42211,212800,27266,832
1787424839,59,4778996,9387756,2096600,0.00,0.00,3.89,0.00,29.84,0.05,0,0,1113448,207.30,15,70496,346824,72340,205428,68508,205428,rviz2,1173248,chrome,630253,48754,243611,28673,105158,42210,215512,27266,832
1787424841,61,4788308,9378444,2096600,0.00,0.00,3.91,0.00,29.40,0.00,0,0,1118436,210.20,15,72064,350244,72340,205428,68508,205428,rviz2,1173248,chrome,635072,51056,246130,28673,105162,42207,218032,27266,832
1787424842,62,4791876,9374876,2096600,0.00,0.00,3.92,0.00,38.97,0.00,0,0,1127116,214.50,15,75272,352548,72340,208532,68572,208532,rviz2,1173248,chrome,641111,53485,246904,28673,107973,42232,218816,27266,822
1787424843,63,4784200,9382552,2096600,0.00,0.00,3.92,0.00,40.61,0.05,0,0,1129444,219.50,15,77668,351988,72340,209016,68580,209016,rviz2,1173248,chrome,645310,55763,248338,28673,108452,42238,220256,27266,816
1787424844,64,4779444,9387308,2096600,0.00,0.00,4.12,0.00,43.07,0.05,0,0,1133628,221.10,15,78508,354804,72340,209516,68608,209516,rviz2,1173248,chrome,647773,56603,249486,28673,108903,42264,221404,27266,816
1787424846,66,4780824,9385928,2096600,0.00,0.00,4.12,0.00,37.87,0.00,0,0,1133104,225.30,15,79092,353624,72340,209588,68608,209588,rviz2,1173248,chrome,648566,57283,249494,28673,109007,42265,221412,27266,816
1787424847,67,4770164,9396588,2096600,0.00,0.00,4.28,0.00,45.05,0.00,0,0,1132932,230.80,15,79652,353452,72340,209024,68612,209024,rviz2,1173248,chrome,648077,57715,249194,28673,108379,42272,221112,27266,816
1787424848,68,4767084,9399668,2096600,0.00,0.00,4.41,0.00,39.86,0.00,0,0,1139564,231.90,15,81132,357612,72340,209952,68676,209952,rviz2,1173248,chrome,655320,59184,254030,28673,109295,42291,225948,27266,816
1787424850,70,4768132,9398620,2096600,0.00,0.00,4.41,0.00,40.78,0.05,0,0,1143208,236.60,15,81808,360240,72340,210228,68676,210228,rviz2,1173248,chrome,658358,59859,256109,28673,109572,42296,228028,27266,815
1787424851,71,4750512,9416240,2096600,0.00,0.00,4.51,0.00,42.38,0.00,0,0,1150720,240.70,15,85620,363132,72340,211036,68676,211036,rviz2,1173248,chrome,668680,63670,261950,28673,110255,42290,233868,27266,816
