epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm,group_pss_kib,server_pss_kib,orb_pss_kib,gazebo_pss_kib,rviz_pss_kib,web_pss_kib,orb_pss_anon_kib,orb_pss_file_kib,orb_pss_shmem_kib
1786793388,0,5940888,8225864,2097104,0.00,0.00,0.00,0.00,16.67,0.00,0,0,17172,0.00,1,0,0,0,0,0,17172,ros2,2456352,code,21732,0,0,0,0,0,0,0,0
1786793389,1,5741308,8425444,2097100,0.00,0.00,0.00,0.00,26.44,4.13,0,0,662764,353.00,12,36984,87000,105352,158972,84388,158972,rviz2,2457184,code,415032,19033,63504,81037,117073,44798,41264,22213,27
1786793390,2,5483936,8682816,2097100,0.18,0.18,0.18,0.36,25.73,0.31,0,0,904136,295.00,11,37516,131460,276516,199592,66108,276516,gzserver,2457268,code,593478,18416,94674,221148,124569,44937,69376,24701,597
1786793392,4,5402924,8763828,2097100,0.14,0.14,0.32,0.29,14.71,0.10,0,0,956044,190.50,10,37708,142348,346672,199788,66276,346672,gzserver,2457312,code,647409,18795,106120,273808,123883,45278,79352,25933,835
1786793393,5,5415096,8751656,2097100,0.14,0.14,0.32,0.29,13.61,0.05,0,0,957044,187.00,10,37708,143312,346696,199788,66288,346696,gzserver,2457868,code,646294,18799,104984,273822,123883,45281,78216,25932,835
1786793394,6,5436676,8730076,2097100,0.12,0.12,0.45,0.24,12.72,0.00,0,0,957744,181.90,10,37712,143820,346696,199788,66288,346696,gzserver,2457828,code,647809,18798,106478,273799,123886,45279,79732,25931,814
1786793395,7,5457936,8708816,2097100,0.12,0.12,0.45,0.24,13.02,0.00,0,0,957840,178.20,10,37648,144356,346704,199724,66224,346704,gzserver,2456392,code,648223,18791,106915,273827,123875,45272,80144,25931,839
1786793396,8,5476124,8690628,2097100,0.09,0.09,0.55,0.19,13.92,0.00,0,0,1092588,192.90,15,38096,163760,347052,200288,66512,347052,gzserver,2457120,code,710797,18418,129659,270531,123410,44680,98148,30696,815
1786793398,10,5335728,8831024,2097100,0.08,0.08,0.99,0.16,29.37,0.05,0,0,1243452,262.60,15,38864,277560,359312,200952,67364,359312,gzserver,2457272,code,793688,18697,182835,297078,123555,45315,150472,30977,1386
1786793399,11,5309328,8857424,2097100,0.08,0.08,0.99,0.16,20.87,0.05,0,0,1254108,256.10,14,39052,290228,387008,201160,67520,387008,gzserver,2456536,code,810361,18973,194130,310221,123863,45595,161392,31281,1456
