epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm,group_pss_kib,server_pss_kib,orb_pss_kib,gazebo_pss_kib,rviz_pss_kib,web_pss_kib
1786623536,0,1652188,12514564,2097108,0.00,0.00,0.00,0.03,21.33,0.00,0,0,20080,0.00,1,0,0,0,0,0,20080,ros2,2364220,code,22824,0,0,0,0,0
1786623537,1,1505684,12661068,2097108,0.00,0.00,0.00,0.03,20.60,0.32,0,0,320552,161.00,8,34544,99192,0,0,0,99192,stereo,2365184,code,190943,17328,79138,0,0,0
1786623538,2,1440924,12725828,2097108,0.00,0.00,0.00,0.02,12.81,0.00,0,0,387288,152.60,8,34548,165900,0,0,0,165900,stereo,2365276,code,257890,17332,146058,0,0,0
1786623539,3,1374292,12792460,2097108,0.00,0.00,0.00,0.02,13.02,0.05,0,0,454436,149.70,8,34548,233040,0,0,0,233040,stereo,2365108,code,324656,17332,212818,0,0,0
1786623541,5,1312464,12854288,2097108,0.00,0.00,0.00,0.02,13.14,0.00,0,0,520164,147.30,8,34548,298768,0,0,0,298768,stereo,2364892,code,390864,17332,279026,0,0,0
1786623542,6,1247000,12919752,2097108,0.00,0.00,0.00,0.01,12.62,0.05,0,0,587292,145.30,8,34548,365836,0,0,0,365836,stereo,2364892,code,457825,17330,345985,0,0,0
1786623543,7,1178944,12987808,2097108,0.00,0.00,0.00,0.01,12.69,0.00,0,0,655396,123.70,8,34548,433940,0,0,0,433940,stereo,2364852,code,525849,17330,414013,0,0,0
1786623544,8,1098016,13068736,2097108,0.00,0.00,0.00,0.01,14.84,0.10,0,0,905196,124.00,13,35252,575880,0,0,0,519188,stereo,2364652,code,655320,16186,515441,0,0,0
1786623546,10,994944,13171808,2097108,0.00,0.00,0.18,0.01,15.84,0.00,0,0,1029016,290.40,13,35784,674392,0,0,0,519732,stereo,2362900,code,758169,16487,604035,0,0,0
1786623547,11,891160,13275592,2097108,0.00,0.00,0.18,0.01,12.90,0.05,0,0,1127780,256.30,13,35824,772972,0,0,0,519732,stereo,2362868,code,856231,16487,702095,0,0,0
1786623548,12,815116,13351636,2097108,0.00,0.00,0.14,0.00,15.18,0.05,0,0,1222992,196.40,13,35824,868184,0,0,0,519732,stereo,2362404,code,951122,16487,796987,0,0,0
1786623549,13,741988,13424764,2097108,0.00,0.00,0.14,0.00,13.99,0.05,0,0,1317980,195.30,13,35824,963172,0,0,0,519732,stereo,2361864,code,1046461,16487,892323,0,0,0
1786623550,14,665492,13501260,2097108,0.00,0.00,0.12,0.00,10.98,0.00,0,0,1397304,184.40,13,36040,1039956,0,0,0,519984,stereo,2361384,code,1105609,16369,950733,0,0,0
1786623552,16,668052,13498700,2097108,0.00,0.00,0.09,0.00,8.28,0.10,0,0,1397412,167.50,13,36092,1040008,0,0,0,520036,stereo,2362364,code,1105720,16421,950785,0,0,0
1786623553,17,638380,13528372,2097108,0.00,0.00,0.09,0.00,18.19,0.05,0,0,1397368,140.70,13,36092,1040008,0,0,0,520036,stereo,2370788,code,1105671,16421,950785,0,0,0
1786623554,18,653296,13513456,2097108,0.00,0.00,0.08,0.00,12.82,0.20,0,0,1397368,132.50,13,36092,1040008,0,0,0,520036,stereo,2369544,code,1105675,16421,950784,0,0,0
1786623555,19,695628,13471124,2097108,0.00,0.00,0.06,0.00,8.04,0.05,0,0,1397368,125.70,13,36092,1040008,0,0,0,520036,stereo,2368432,code,1105672,16421,950784,0,0,0
1786623557,21,700068,13466684,2097108,0.00,0.00,0.06,0.00,10.84,0.00,0,0,1397368,119.60,13,36092,1040008,0,0,0,520036,stereo,2370704,code,1105680,16421,950784,0,0,0
1786623558,22,703144,13463608,2097108,0.00,0.00,0.05,0.00,7.81,0.05,0,0,1396932,107.50,13,35972,1040008,0,0,0,520036,stereo,2364488,code,1105244,16301,950784,0,0,0
1786623559,23,711944,13454808,2097108,0.00,0.00,0.04,0.00,6.79,0.05,0,0,1396932,103.40,13,35972,1040008,0,0,0,520036,stereo,2363784,code,1105239,16301,950784,0,0,0
1786623561,25,716832,13449920,2097108,0.00,0.00,0.04,0.00,6.76,0.05,0,0,1396932,99.60,13,35972,1040008,0,0,0,520036,stereo,2363728,code,1102297,16301,949269,0,0,0
1786623562,26,1656752,12510000,2097108,0.00,0.00,0.21,0.00,23.39,0.05,0,0,121332,14.20,3,0,0,0,0,0,51740,ros2,2361184,code,91382,0,0,0,0,0
1786623563,27,1630564,12536188,2097108,0.00,0.00,0.21,0.00,20.20,0.05,0,0,142860,21.10,3,0,0,0,0,0,64472,ros2,2360816,code,112572,0,0,0,0,0
1786623564,28,1584628,12582124,2097108,0.00,0.00,0.35,0.00,20.13,0.00,0,0,165448,27.50,3,0,0,0,0,0,77656,ros2,2360804,code,135199,0,0,0,0,0
1786623565,29,1556812,12609940,2097108,0.00,0.00,0.47,0.00,21.24,0.05,0,0,190656,33.70,3,0,0,0,0,0,92916,ros2,2360520,code,160336,0,0,0,0,0
1786623567,31,1589520,12577232,2097108,0.00,0.00,0.47,0.00,10.42,0.05,0,0,0,0.00,0,0,0,0,0,0,0,none,2361632,code,0,0,0,0,0,0
1786623568,32,1588392,12578360,2097108,0.00,0.00,0.38,0.00,5.13,0.00,0,0,0,0.00,0,0,0,0,0,0,0,none,2361608,code,0,0,0,0,0,0
