epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm
1786622659,0,1837540,12329212,2096924,0.00,0.00,0.13,0.00,19.70,0.00,0,0,16316,0.00,1,0,0,0,0,0,16316,ros2,2333068,code
1786622660,1,1774920,12391832,2096924,0.00,0.00,0.11,0.18,11.97,0.85,0,0,100308,47.00,2,0,0,0,0,61952,61952,python3,2334600,code
1786622661,2,1731560,12435192,2096924,0.00,0.00,0.11,0.14,10.53,0.06,0,0,175284,86.00,3,74044,0,0,0,62784,74044,global_map_serv,2334236,code
1786622662,3,1703484,12463268,2096924,0.00,0.00,0.09,0.14,14.11,0.12,0,0,185760,138.10,3,84232,0,0,0,63072,84232,global_map_serv,2337360,code
1786622663,4,1693312,12473440,2096924,0.00,0.00,0.07,0.12,8.30,0.00,0,0,186916,113.10,3,85368,0,0,0,63092,85368,global_map_serv,2336820,code
1786622664,5,1695164,12471588,2096924,0.00,0.00,0.07,0.12,4.58,0.06,0,0,186916,86.70,3,85368,0,0,0,63092,85368,global_map_serv,2336512,code
1786622665,6,1684300,12482452,2096924,0.00,0.00,0.06,0.10,6.12,0.00,0,0,186916,70.60,3,85368,0,0,0,63092,85368,global_map_serv,2336512,code
1786622666,7,1699664,12467088,2096924,0.00,0.00,0.06,0.10,6.55,0.06,0,0,186916,59.30,3,85368,0,0,0,63092,85368,global_map_serv,2336516,code
1786622667,8,1695084,12471668,2096924,0.00,0.00,0.04,0.08,4.69,0.00,0,0,186916,51.30,3,85368,0,0,0,63092,85368,global_map_serv,2336280,code
1786622669,10,1683056,12483696,2096924,0.00,0.00,0.04,0.08,5.59,0.06,0,0,186916,45.20,3,85368,0,0,0,63092,85368,global_map_serv,2336736,code
1786622670,11,1684452,12482300,2096924,0.00,0.00,0.04,0.06,7.57,0.00,0,0,186916,40.50,3,85368,0,0,0,63092,85368,global_map_serv,2336732,code
1786622671,12,1693080,12473672,2096924,0.00,0.00,0.04,0.06,4.84,0.06,0,0,186924,36.50,3,85376,0,0,0,63092,85376,global_map_serv,2336212,code
1786622672,13,1699268,12467484,2096924,0.00,0.00,0.03,0.05,4.92,0.06,0,0,186924,33.30,3,85376,0,0,0,63092,85376,global_map_serv,2336860,code
1786622673,14,1700632,12466120,2096924,0.00,0.00,0.02,0.04,4.84,0.00,0,0,186928,28.40,3,85380,0,0,0,63092,85380,global_map_serv,2336740,code
1786622674,15,1695328,12471424,2096924,0.00,0.00,0.02,0.04,4.98,0.06,0,0,186928,26.40,3,85380,0,0,0,63092,85380,global_map_serv,2336680,code
1786622675,16,1699852,12466900,2096924,0.00,0.00,0.02,0.03,9.27,0.00,0,0,186928,24.70,3,85380,0,0,0,63092,85380,global_map_serv,2336540,code
1786622676,17,1731276,12435476,2096924,0.00,0.00,0.02,0.03,5.08,0.06,0,0,186928,23.20,3,85380,0,0,0,63092,85380,global_map_serv,2336768,code
1786622677,18,1728960,12437792,2096924,0.00,0.00,0.01,0.02,4.21,0.00,0,0,186928,21.90,3,85380,0,0,0,63092,85380,global_map_serv,2336736,code
1786622678,19,1728300,12438452,2096924,0.00,0.00,0.01,0.02,3.94,0.00,0,0,186928,20.70,3,85380,0,0,0,63092,85380,global_map_serv,2336720,code
1786622680,21,1721684,12445068,2096924,0.00,0.00,0.01,0.02,5.45,0.06,0,0,186928,19.60,3,85380,0,0,0,63092,85380,global_map_serv,2336596,code
1786622681,22,1714400,12452352,2096924,0.00,0.00,0.01,0.02,6.35,0.00,0,0,186928,18.60,3,85380,0,0,0,63092,85380,global_map_serv,2336736,code
1786622682,23,1711772,12454980,2096924,0.00,0.00,0.01,0.01,4.28,0.06,0,0,186928,17.80,3,85380,0,0,0,63092,85380,global_map_serv,2336736,code
1786622683,24,1713256,12453496,2096924,0.00,0.00,0.00,0.01,4.22,0.00,0,0,186928,17.00,3,85380,0,0,0,63092,85380,global_map_serv,2336420,code
