epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm
1786620683,0,1806480,12360272,2097084,0.00,0.00,0.06,0.36,25.35,0.00,0,0,16572,0.00,1,0,0,0,0,0,16572,ros2,2335408,code
1786620684,1,1610420,12556332,2097084,0.00,0.00,0.06,0.36,28.53,1.55,0,0,637400,346.00,15,35924,153604,71532,0,0,76812,stereo,2312484,code
1786620685,2,1329680,12837072,2097084,0.00,0.00,0.41,0.65,35.57,0.73,0,0,767436,310.50,15,35984,269416,71532,0,0,135536,stereo,2311564,code
1786620687,4,1060216,13106536,2097084,0.00,0.00,0.41,0.65,34.01,0.28,0,0,882260,299.10,15,36344,382988,71532,0,0,191956,stereo,2311648,code
1786620688,5,854264,13312488,2097084,0.00,0.00,0.52,0.53,42.53,0.17,0,0,935860,287.70,13,36636,492556,71532,0,0,246372,stereo,2305652,code
1786620689,6,742824,13423928,2097084,0.00,0.00,0.52,0.53,31.42,0.06,0,0,1048784,281.60,13,36648,605468,71532,0,0,302880,stereo,2304692,code
1786620690,7,650776,13515976,2097084,0.18,0.18,0.60,0.44,30.92,0.00,0,0,1161608,237.80,13,36652,718832,71532,0,0,359932,stereo,2299436,code
1786620691,8,544904,13621848,2097084,0.32,0.32,0.68,0.36,37.44,0.34,0,0,1174204,240.60,13,32380,793520,50648,0,0,396840,stereo,2296908,code
1786620692,9,388424,13778328,2097084,0.32,0.32,0.68,0.36,31.41,0.22,0,0,1315716,240.90,13,28928,970100,32448,0,0,485168,stereo,2279988,code
1786620693,10,375392,13791360,2097084,0.26,0.26,0.73,0.29,17.54,0.06,0,0,1340224,225.80,13,29732,988024,32448,0,0,494068,stereo,2280076,code
