epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm
1786554395,0,2142604,12024148,2097132,0.00,0.00,0.00,0.00,21.74,0.00,0,0,16240,0.00,1,0,0,0,0,0,16240,ros2,2212668,code
1786554396,1,1873224,12293528,2097132,0.00,0.00,0.36,0.18,27.52,2.08,0,0,672400,39.00,15,35844,182192,71720,0,0,91232,stereo,2210352,code
1786554397,2,1554364,12612388,2097132,0.00,0.00,0.36,0.18,23.82,0.66,0,0,840928,275.50,15,35864,346000,71720,0,0,173184,stereo,2209228,code
1786554398,3,1275300,12891452,2097132,0.00,0.00,0.29,0.14,21.27,0.30,0,0,1005380,262.90,15,35864,510452,71720,0,0,255464,stereo,2208960,code
1786554399,4,1107304,13059448,2097132,0.00,0.00,0.29,0.14,26.32,0.06,0,0,1163292,261.40,15,36092,665912,71720,0,0,333184,stereo,2208932,code
1786554400,5,873808,13292944,2097132,0.00,0.00,0.42,0.12,32.45,0.12,0,0,1254184,258.40,13,36488,813948,71720,0,0,407328,stereo,2207516,code
1786554401,6,663648,13503104,2097132,0.00,0.00,0.42,0.12,31.04,0.11,0,0,1433540,266.80,13,36552,1012888,53276,0,0,506724,stereo,2204064,code
1786554402,7,645236,13521516,2097132,0.18,0.18,0.70,0.09,16.53,0.12,0,0,1465536,241.60,13,36460,1046940,51896,0,0,523684,stereo,2202512,code
1786554403,8,636196,13530556,2097132,0.18,0.18,0.70,0.09,29.61,0.06,0,0,1467208,249.70,13,36528,1048592,51720,0,0,526516,stereo,2201632,code
1786554405,10,619912,13546840,2097132,0.14,0.14,1.30,0.08,29.93,0.06,0,0,1460424,255.30,13,36124,1047068,51688,0,0,523812,stereo,2196720,code
1786554406,11,623036,13543716,2097132,0.14,0.14,1.30,0.08,28.36,0.00,0,0,1460956,258.70,13,36124,1047564,51688,0,0,524884,stereo,2196800,code
1786554407,12,620576,13546176,2097132,0.12,0.12,1.97,0.06,28.45,0.06,0,0,1463580,260.00,13,36124,1050032,51688,0,0,525484,stereo,2196912,code
1786554408,13,591004,13575748,2097132,0.12,0.12,1.97,0.06,32.39,0.12,0,0,1397712,262.70,13,34500,1024980,35932,0,0,513952,stereo,2197564,code
1786554409,14,592212,13574540,2097132,0.09,0.09,2.70,0.05,36.72,0.06,0,0,1396612,266.60,13,34564,1023552,35932,0,0,512524,stereo,2197736,code
1786554410,15,592856,13573896,2097132,0.08,0.08,3.30,0.04,30.21,0.24,0,0,1387160,251.20,13,31388,1023584,35756,0,0,512536,stereo,2194244,code
1786554411,16,571504,13595248,2097132,0.08,0.08,3.30,0.04,33.16,0.65,0,0,1384044,254.60,13,31612,1019964,34724,0,0,510580,stereo,2194688,code
1786554412,17,572372,13594380,2097132,0.06,0.06,3.79,0.03,29.23,0.06,0,0,1387756,256.80,13,31616,1023380,34724,0,0,512952,stereo,2194868,code
1786554413,18,570040,13596712,2097132,0.06,0.06,3.79,0.03,31.25,0.00,0,0,1387276,260.20,13,31676,1022648,34724,0,0,512164,stereo,2194820,code
1786554414,19,562336,13604416,2097132,0.05,0.05,4.01,0.02,28.26,0.12,0,0,1387632,261.60,13,31740,1022940,34724,0,0,513068,stereo,2194872,code
1786554415,20,566044,13600708,2097132,0.05,0.05,4.01,0.02,28.78,0.00,0,0,1387972,263.30,13,31740,1023280,34724,0,0,512364,stereo,2195144,code
1786554417,22,563108,13603644,2097132,0.04,0.04,4.18,0.02,28.97,0.00,0,0,1388036,264.30,13,31740,1023328,34724,0,0,512412,stereo,2195064,code
1786554418,23,567984,13598768,2097132,0.04,0.04,4.18,0.02,29.02,0.06,0,0,1387428,265.90,13,31740,1022528,34724,0,0,512456,stereo,2195096,code
1786554419,24,567320,13599432,2097132,0.03,0.03,4.33,0.01,28.87,0.00,0,0,1387504,266.50,13,31740,1022604,34724,0,0,512528,stereo,2195224,code
