epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm,group_pss_kib,server_pss_kib,orb_pss_kib,gazebo_pss_kib,rviz_pss_kib,web_pss_kib,orb_pss_anon_kib,orb_pss_file_kib,orb_pss_shmem_kib
1786908799,0,8452548,5714204,2090276,0.00,0.00,0.00,0.00,15.56,0.00,0,0,16704,0.00,1,0,0,0,0,0,16704,ros2,697968,chrome,21693,0,0,0,0,0,0,0,0
1786908800,1,8063128,6103624,2090104,0.00,0.00,0.18,0.36,37.59,3.91,48,0,700164,314.50,12,37976,104388,71564,157632,65652,157632,rviz2,697972,chrome,410394,19587,86583,29370,100642,41391,67044,18947,592
1786908801,2,7873336,6293416,2090080,0.00,0.00,0.18,0.36,21.62,0.16,4,0,768708,207.10,12,38500,131228,71564,194904,66216,194904,rviz2,697972,chrome,415014,19011,90061,29339,101667,41498,69504,19961,595
1786908802,3,7656592,6510160,2090076,0.00,0.00,0.51,0.29,16.41,0.16,0,0,750632,152.40,11,38712,142076,71564,195124,66380,195124,rviz2,697972,chrome,415177,19365,100253,29348,100827,41799,78204,21215,834
1786908803,4,7672728,6494024,2090064,0.00,0.00,0.59,0.24,16.35,0.00,3,0,751172,139.80,11,38712,142616,71564,195124,66380,195124,rviz2,697976,chrome,416613,19365,101677,29348,100816,41799,79628,21215,834
1786908805,6,7707408,6459344,2090064,0.00,0.00,0.59,0.24,14.82,0.05,0,0,751880,131.10,11,38712,143324,71564,195124,66380,195124,rviz2,697976,chrome,416724,19366,101793,29352,100820,41802,79740,21219,834
1786908806,7,7744556,6422196,2090064,0.00,0.00,0.67,0.19,14.00,0.00,0,0,751872,126.40,11,38648,143828,71564,195060,66316,195060,rviz2,697976,chrome,416391,19360,101507,29352,100814,41794,79428,21219,859
1786908807,8,7750552,6416200,2090064,0.00,0.00,0.67,0.19,13.69,0.00,0,0,750288,106.90,11,38648,142244,71564,195060,66316,195060,rviz2,697980,chrome,410767,19049,99751,29332,100367,41666,79700,19245,806
1786908808,9,7637896,6528856,2090040,0.00,0.00,1.27,0.16,28.38,0.05,8,0,1026968,268.70,16,39968,277012,71564,196316,67456,196316,rviz2,697980,chrome,541344,19323,178532,28459,100787,41952,151676,25514,1342
1786908809,10,7594272,6572480,2090040,0.00,0.00,1.58,0.13,19.87,0.00,0,0,1010792,213.80,15,40248,290372,71564,196564,67628,196564,rviz2,697988,chrome,543557,19649,189530,28467,101155,42224,162436,25689,1403
