epoch_s,elapsed_s,mem_available_kib,mem_used_kib,swap_used_kib,memory_psi_some_avg10,memory_psi_full_avg10,cpu_psi_some_avg10,io_psi_full_avg10,cpu_busy_pct,cpu_iowait_pct,pswpin_delta_pages,pswpout_delta_pages,group_rss_kib,group_cpu_pct,group_processes,server_rss_kib,orb_rss_kib,gazebo_rss_kib,rviz_rss_kib,web_rss_kib,max_process_rss_kib,max_process_comm,max_external_process_rss_kib,max_external_process_comm,group_pss_kib,server_pss_kib,orb_pss_kib,gazebo_pss_kib,rviz_pss_kib,web_pss_kib,orb_pss_anon_kib,orb_pss_file_kib,orb_pss_shmem_kib
1787233704,0,6902964,7263788,1583236,0.00,0.00,0.00,0.00,16.67,0.00,0,0,19076,0.00,1,0,0,0,0,0,19076,ros2,945048,chrome,20833,0,0,0,0,0,0,0,0
1787233705,1,6456312,7710440,1583236,0.00,0.00,0.36,0.00,43.68,0.06,2,0,772968,33.00,12,38468,131916,72068,198000,66296,198000,rviz2,945848,chrome,430155,19113,90390,29414,116709,41238,69272,20520,598
1787233706,2,6254304,7912448,1583236,0.00,0.00,0.36,0.00,16.72,0.00,0,0,775600,208.00,12,38708,132256,72068,198244,66520,198244,rviz2,945848,chrome,417910,19186,90513,29351,104422,41251,69576,20340,597
1787233707,3,6157880,8008872,1583236,0.00,0.00,0.47,0.00,17.72,0.27,0,0,758280,164.60,11,38900,144148,72068,198444,66668,198444,rviz2,945848,chrome,419591,19509,102101,29342,103735,41552,79636,21628,837
1787233708,4,6169792,7996960,1583236,0.00,0.00,0.47,0.00,13.43,0.21,0,0,758536,146.40,11,38908,144396,72068,198444,66668,198444,rviz2,945848,chrome,419844,19509,102345,29342,103732,41556,79880,21628,837
1787233710,6,6174736,7992016,1583236,0.00,0.00,0.57,0.00,14.10,0.00,0,0,758908,135.60,11,38908,144708,72068,198444,66668,198444,rviz2,945848,chrome,420153,19508,102656,29342,103731,41557,80192,21627,837
1787233711,7,6181828,7984924,1583236,0.00,0.00,0.65,0.00,11.95,0.05,0,0,758180,127.30,11,38844,144488,72068,198384,66604,198384,rviz2,945848,chrome,419948,19502,102494,29342,103731,41549,80036,21627,830
1787233712,8,6185272,7981480,1583236,0.00,0.00,0.65,0.00,13.03,0.00,0,0,758288,106.50,11,38844,144440,72068,198384,66604,198384,rviz2,945848,chrome,444906,19220,97858,29110,103385,41340,79988,17045,825
1787233713,9,6068248,8098504,1583236,0.00,0.00,1.25,0.00,31.03,0.05,0,0,1034068,278.10,16,40064,279868,72068,199632,67760,199632,rviz2,945848,chrome,543748,19437,178624,28483,103765,41761,151388,25840,1396
1787233714,10,6057916,8108836,1583236,0.00,0.00,1.25,0.00,13.54,0.00,0,0,1035192,204.80,16,40144,279996,72068,199724,67828,199724,rviz2,945848,chrome,545443,19668,190621,28483,103863,41850,163140,26021,1458
1787233716,12,6029820,8136932,1583236,0.00,0.00,1.75,0.00,25.98,0.05,0,0,1018584,205.40,15,40268,292940,72068,199928,67972,199928,rviz2,945804,chrome,546853,19753,190296,28489,104124,42039,162836,26027,1432
1787233717,13,6031972,8134780,1583236,0.00,0.00,1.79,0.00,19.95,0.00,0,0,1018944,174.50,15,40336,293036,72068,199932,67972,199932,rviz2,945804,chrome,547855,19775,191224,28489,104127,42036,163812,26027,1385
1787233718,14,6051064,8115688,1583236,0.00,0.00,1.79,0.00,20.00,0.00,0,0,1018656,175.90,15,40384,293032,72068,199932,67908,199932,rviz2,945804,chrome,547923,19782,191292,28489,104123,42033,163872,26027,1392
1787233719,15,6046924,8119828,1583236,0.00,0.00,2.01,0.00,22.81,0.05,1,0,1020132,180.10,15,40576,292824,72068,199996,68088,199996,rviz2,945804,chrome,546562,19787,191188,28476,104046,41671,163972,25851,1364
1787233721,17,6054264,8112488,1583236,0.00,0.00,2.01,0.00,24.18,0.00,0,0,1020212,183.50,15,40576,292488,72068,200060,68088,200060,rviz2,945808,chrome,546217,19791,190778,28476,104050,41667,163572,25851,1354
1787233722,18,6064724,8102028,1583236,0.00,0.00,2.37,0.00,19.14,0.00,0,0,1022020,183.20,15,40704,293976,72068,200060,68088,200060,rviz2,945808,chrome,546816,19798,191352,28476,104047,41669,164176,25851,1323
1787233723,19,6066680,8100072,1583236,0.00,0.00,2.48,0.00,19.04,0.05,0,0,1021164,170.40,15,40704,293124,72068,200060,68088,200060,rviz2,945808,chrome,546780,19806,191380,28476,104050,41657,164216,25851,1312
1787233724,20,6062228,8104524,1583236,0.00,0.00,2.48,0.00,18.40,0.00,0,0,1021936,171.40,15,40764,293720,72068,200060,68088,200060,rviz2,945808,chrome,545910,19806,190504,28476,104049,41658,163340,25851,1311
1787233726,22,6086940,8079812,1583236,0.00,0.00,2.58,0.00,19.96,0.00,0,0,1022760,172.00,15,40764,294536,72068,200060,68088,200060,rviz2,920192,chrome,546292,19806,190884,28476,104049,41663,163720,25851,1311
1787233727,23,6111884,8054868,1583236,0.00,0.00,2.65,0.00,18.78,0.00,0,0,1022504,172.50,15,40764,294280,72068,200060,68088,200060,rviz2,920192,chrome,546871,19806,191447,28477,104050,41666,164280,25855,1311
1787233728,24,6110652,8056100,1583236,0.00,0.00,2.65,0.00,18.70,0.05,0,0,1022812,163.80,15,40764,294584,72068,200060,68088,200060,rviz2,920192,chrome,546864,19806,191439,28477,104049,41666,164272,25855,1311
1787233729,25,6123280,8043472,1583236,0.00,0.00,2.72,0.00,20.37,0.00,0,0,1022960,164.60,15,40764,294732,72068,200060,68088,200060,rviz2,920204,chrome,547517,19806,192099,28477,104050,41662,164932,25855,1311
1787233730,26,6126604,8040148,1583236,0.00,0.00,2.72,0.00,18.02,0.00,0,0,1022996,165.30,15,40764,294768,72068,200060,68088,200060,rviz2,920208,chrome,547056,19803,191620,28477,104049,41665,164460,25855,1305
1787233732,28,6127968,8038784,1583236,0.00,0.00,2.77,0.00,18.37,0.00,0,0,1022340,166.00,15,40764,293984,72068,200060,68088,200060,rviz2,920208,chrome,546704,19803,191272,28477,104049,41666,164112,25855,1305
1787233733,29,6115516,8051236,1583236,0.00,0.00,2.81,0.00,19.21,0.05,0,0,1022728,166.50,15,40764,294372,72068,200060,68088,200060,rviz2,925668,chrome,547667,19803,192236,28477,104049,41664,165076,25855,1305
1787233734,30,6113836,8052916,1583236,0.00,0.00,2.81,0.00,19.65,0.00,0,0,1021864,160.40,15,40764,293508,72068,200060,68088,200060,rviz2,925668,chrome,548197,19803,192764,28477,104049,41664,165604,25855,1305
1787233735,31,6120240,8046512,1583236,0.00,0.00,2.84,0.00,20.59,0.00,0,0,1023812,161.30,15,40784,294992,72068,199676,68112,199676,rviz2,925668,chrome,546755,19822,191461,28477,103664,41685,164304,25851,1305
1787233737,33,6128076,8038676,1583236,0.00,0.00,2.84,0.00,19.88,0.05,0,0,1023304,162.00,15,40784,294484,72068,199676,68112,199676,rviz2,925680,chrome,546761,19822,191461,28477,103664,41690,164304,25852,1305
1787233738,34,6117908,8048844,1583236,0.00,0.00,2.87,0.00,20.25,0.00,0,0,1025384,162.60,15,40784,296564,72068,199676,68112,199676,rviz2,925680,chrome,550179,19822,194905,28477,103646,41686,166844,26755,1305
1787233739,35,6113948,8052804,1583236,0.00,0.00,2.89,0.00,22.32,0.00,0,0,1028724,158.90,15,43840,296748,72068,199676,68144,199676,rviz2,925680,chrome,553194,23131,194561,28477,103645,41726,166408,26883,1269
