receive_sec,t_act,trajectory_id,piece,x_pos,x_vel,x_acc,x_jerk,x_ratio,y_pos,y_vel,y_acc,y_jerk,y_ratio,z_pos,z_vel,z_acc,z_jerk,z_ratio,yaw_pos,yaw_vel,yaw_acc,yaw_jerk,yaw_ratio
1790081376.04,0,,0,-2.36084500796e-06,0.00124942919454,-0.000416378029639,5.20431550156e-05,0,-6.87842310042e-06,1.33378791592e-06,-1.57995009455e-07,7.80766941036e-09,0,0.0249921563304,0.00500276549891,0.0389577383199,-0.00656243924081,0,2.77150219284e-05,1.07375265957e-07,-1.19058433567e-06,1.96939399473e-07,0
1790081376.08,0.0400167815387,,0,4.73044632991e-05,0.00123280875558,-0.000414295430102,5.20431550156e-05,0.333473175,-6.82517562019e-06,1.3274717156e-06,-1.57682571658e-07,7.80766941036e-09,0.333473175,0.0252234731604,0.00655647442422,0.038695130626,-0.00656243924081,0.333473175,2.77183675775e-05,5.98895970749e-08,-1.18270345485e-06,1.96939399473e-07,0.333473175
1790081376.11,0.0700001418591,,0,8.40822245306e-05,0.00122041017835,-0.000412735001242,5.20431550156e-05,0.583334541667,-6.78544439594e-06,1.32274737122e-06,-1.57448471465e-07,7.80766941036e-09,0.583334541667,0.0254374223399,0.00771373478743,0.0384983666215,-0.00656243924081,0.583334541667,2.77196325274e-05,2.45166933525e-08,-1.17679854915e-06,1.96939399473e-07,0.583334541667
1790081376.14,0.100021652877,,0,0.000120535013586,0.00120804270504,-0.000411172587351,5.20431550156e-05,0.833513758333,-6.74580444602e-06,1.31802404948e-06,-1.5721407347e-07,7.80766941036e-09,0.833513758333,0.0256863197928,0.00886655639881,0.0383013523125,-0.00656243924081,0.833513758333,2.77198391247e-05,-1.0723821515e-08,-1.17088613179e-06,1.96939399473e-07,0.833513758333
1790081376.18,0.140001520514,,0,0.000168504353484,0.00119164567027,-0.000409091908675,5.20431550156e-05,1.16667935833,-6.69323557479e-06,1.31174489079e-06,-1.56901923847e-07,7.80766941036e-09,1.16667935833,0.0260713439414,0.0103925948925,0.0380389868316,-0.00656243924081,1.16667935833,2.77184767187e-05,-5.73783061908e-08,-1.16301251981e-06,1.96939399473e-07,1.16667935833
1790081376.21,0.170007392764,,0,0.000204076796553,0.00117939393778,-0.000407530308219,5.20431550156e-05,1.416728325,-6.65394611863e-06,1.30704042595e-06,-1.56667647887e-07,7.80766941036e-09,1.416728325,0.026400277557,0.01153103376,0.0378420750935,-0.00656243924081,1.416728325,2.77162323585e-05,-9.21868581969e-08,-1.15710318061e-06,1.96939399473e-07,1.416728325
1790081376.24,0.200024440885,,0,0.000239295345624,0.00116718453146,-0.000405968126909,5.20431550156e-05,1.6668703,-6.61478318314e-06,1.30234124481e-06,-1.56433284785e-07,7.80766941036e-09,1.6668703,0.0267634237235,0.0126639842755,0.037645090112,-0.00656243924081,1.6668703,2.77129447819e-05,-1.26830943766e-07,-1.15119164336e-06,1.96939399473e-07,1.6668703
1790081376.28,0.240006834269,,0,0.000285638247764,0.00115099455013,-0.000403887316772,5.20431550156e-05,2.00005695,-6.5628374105e-06,1.2960929076e-06,-1.56121115439e-07,7.80766941036e-09,2.00005695,0.0272997798488,0.0141638799191,0.0373827080544,-0.00656243924081,2.00005695,2.77069557316e-05,-1.72700933336e-07,-1.14331753391e-06,1.96939399473e-07,2.00005695
1790081376.31,0.270010173321,,0,0.000319990385626,0.00113890000185,-0.000402325847725,5.20431550156e-05,2.250084875,-6.52402051512e-06,1.29141226521e-06,-1.55886859193e-07,7.80766941036e-09,2.250084875,0.0277415401456,0.0152825326728,0.0371858128865,-0.00656243924081,2.250084875,2.77012604035e-05,-2.06915648081e-07,-1.13740869198e-06,1.96939399473e-07,2.250084875
1790081376.34,0.300033003092,,0,0.000354002296955,0.0011268444972,-0.000400763365034,5.20431550156e-05,2.50027510833,-6.48531888747e-06,1.28673561965e-06,-1.55652450878e-07,7.80766941036e-09,2.50027510833,0.0282170944888,0.0163959983435,0.0369887899019,-0.00656243924081,2.50027510833,2.76945364857e-05,-2.40975115954e-07,-1.13149601427e-06,1.96939399473e-07,2.50027510833
1790081376.38,0.340014278889,,0,0.000398735209328,0.00111086306643,-0.000398682613862,5.20431550156e-05,2.83345231667,-6.43399789185e-06,1.28051867805e-06,-1.55340290378e-07,7.80766941036e-09,2.83345231667,0.0289021206615,0.01786961192,0.0367264152795,-0.00656243924081,2.83345231667,2.76839997444e-05,-2.86056353979e-07,-1.12362212795e-06,1.96939399473e-07,2.83345231667
1790081376.41,0.370007127523,,0,0.000431874062216,0.00109892885003,-0.000397121691736,5.20431550156e-05,3.08339266667,-6.39566133213e-06,1.27586309304e-06,-1.55106116183e-07,7.80766941036e-09,3.08339266667,0.0294545705998,0.0189681898021,0.0365295890763,-0.00656243924081,3.08339266667,2.76749155983e-05,-3.19668394486e-07,-1.11771535566e-06,1.96939399473e-07,3.08339266667
1790081376.44,0.400009959936,,0,0.000464666555208,0.00108703749135,-0.000395560248763,5.20431550156e-05,3.33341641667,-6.357451579e-06,1.27121298162e-06,-1.54871863849e-07,7.80766941036e-09,3.33341641667,0.0300400822523,0.0200612279249,0.0363326971961,-0.00656243924081,3.33341641667,2.76648224544e-05,-3.53114401075e-07,-1.1118066124e-06,1.96939399473e-07,3.33341641667
1790081376.48,0.440028697252,,0,0.000507852221003,0.00107124934805,-0.000393477548054,5.20431550156e-05,3.66690579167,-6.30670318639e-06,1.26502145907e-06,-1.54559410874e-07,7.80766941036e-09,3.66690579167,0.0308719302954,0.0215099612747,0.0360700767448,-0.00656243924081,3.66690579167,2.76498030917e-05,-3.97449785088e-07,-1.10392534873e-06,1.96939399473e-07,3.66690579167
1790081376.51,0.469997495413,,0,0.000539779822553,0.00105948066609,-0.000391917876785,5.20431550156e-05,3.91664585,-6.26886137458e-06,1.26039300407e-06,-1.54325424336e-07,7.80766941036e-09,3.91664585,0.0315327265325,0.0225879914834,0.0358734082697,-0.00656243924081,3.91664585,2.76373971454e-05,-4.30444672275e-07,-1.09802330987e-06,1.96939399473e-07,3.91664585
1790081376.54,0.500010430813,,0,0.000571401629583,0.00104774151362,-0.000390355910778,5.20431550156e-05,4.16675335,-6.23110279639e-06,1.25576476701e-06,-1.54091093535e-07,7.80766941036e-09,4.16675335,0.0322267850127,0.0236617008606,0.035676450437,-0.00656243924081,4.16675335,2.76239846043e-05,-4.6331083711e-07,-1.09211258737e-06,1.96939399473e-07,4.16675335
1790081376.58,0.540021121502,,0,0.00061301059439,0.00103216476106,-0.000388273628236,5.20431550156e-05,4.50017576667,-6.18098203701e-06,1.24960572551e-06,-1.53778703294e-07,7.80766941036e-09,4.50017576667,0.0332019923529,0.0250838875014,0.0354138827149,-0.00656243924081,4.50017576667,2.76045751633e-05,-5.06849379547e-07,-1.08423290611e-06,1.96939399473e-07,4.50017576667
