stamp_sec,receive_sec,x,y,z,qx,qy,qz,qw,yaw_rad
41.942,1790081404.43,5.80221572209,5.78937208754,2.16724998622,-0.00254236868261,-0.00295510217886,0.788936662532,0.614462160141,1.81817120635
41.962,1790081404.45,5.81451796875,5.80229381841,2.16971326757,-0.0024530341358,-0.0030798674879,0.790131327227,0.612924940572,1.82206604059
41.982,1790081404.47,5.82679021294,5.81520826635,2.17217497129,-0.00235936657115,-0.00320324068362,0.791321010986,0.61138795393,1.82595444491
42.002,1790081404.49,5.83903244596,5.82811415071,2.17463566765,-0.00226074738228,-0.00332223359521,0.792507095832,0.609849452604,1.82984087589
42.022,1790081404.51,5.85124471414,5.84101019418,2.17709604995,-0.00215627975196,-0.00343364831674,0.793691246608,0.608307295349,1.8337307558
42.042,1790081404.53,5.86342716901,5.85389515325,2.17955543163,-0.00204715652143,-0.0035401567858,0.794871881135,0.60676351985,1.83761894083
42.062,1790081404.55,5.87558000313,5.86676778435,2.18201395107,-0.00193342070255,-0.00364067125463,0.796049374086,0.605217647971,1.84150664874
42.082,1790081404.57,5.88770349234,5.87962687188,2.1844707835,-0.00181694799767,-0.00373892464716,0.797221818764,0.603672171654,1.84538762595
42.102,1790081404.59,5.89979791406,5.89247118524,2.18692650824,-0.00169715820508,-0.00383219980675,0.798390593606,0.60212531415,1.84926636769
42.122,1790081404.61,5.91186359199,5.905299509,2.18938183096,-0.00157315823054,-0.0039171386151,0.799557361337,0.600574897186,1.85314834697
42.142,1790081404.63,5.92390094786,5.91811067828,2.19183607674,-0.00144617919087,-0.00399637690965,0.80072056671,0.599022964155,1.85702844746
42.162,1790081404.65,5.93591043717,5.93090354159,2.19428938549,-0.00131612650123,-0.00406880011512,0.801880585466,0.597469027925,1.860907902
42.182,1790081404.67,5.94789259044,5.94367699089,2.19674097449,-0.00118449729417,-0.00413797187957,0.803035575762,0.59591554621,1.86478059622
42.202,1790081404.69,5.95984793962,5.95642991399,2.19919140183,-0.00105070192577,-0.00420128378206,0.804186878665,0.594360756968,1.86865095402
42.222,1790081404.71,5.97177706001,5.96916122591,2.2016413412,-0.000913961759418,-0.0042555503954,0.80533610596,0.592802506238,1.87252434531
