t_s,x_m,y_m,z_m,yaw_rad,x_velocity_mps,y_velocity_mps,x_acceleration_mps2,y_acceleration_mps2
1.42,0.56608562963,0,1,1.57079632679,0.722622222222,0,0.351111111111,0
1.44,0.580608,0,1,1.57079632679,0.7296,0,0.346666666667,0
1.46,0.595269037037,0,1,1.57079632679,0.736488888889,0,0.342222222222,0
1.48,0.610066962963,0,1,1.57079632679,0.743288888889,0,0.337777777778,0
1.5,0.625,0,1,1.57079632679,0.75,0,0.333333333333,0
1.52,0.64006637037,0,1,1.57079632679,0.756622222222,0,0.328888888889,0
1.54,0.655264296296,0,1,1.57079632679,0.763155555556,0,0.324444444444,0
1.56,0.670592,0,1,1.57079632679,0.7696,0,0.32,0
1.58,0.686047703704,0,1,1.57079632679,0.775955555556,0,0.315555555556,0
1.6,0.70162962963,0,1,1.57079632679,0.782222222222,0,0.311111111111,0
1.62,0.717336,0,1,1.57079632679,0.7884,0,0.306666666667,0
1.64,0.733165037037,0,1,1.57079632679,0.794488888889,0,0.302222222222,0
1.66,0.749114962963,0,1,1.57079632679,0.800488888889,0,0.297777777778,0
1.68,0.765184,0,1,1.57079632679,0.8064,0,0.293333333333,0
1.7,0.78137037037,0,1,1.57079632679,0.812222222222,0,0.288888888889,0
1.72,0.797672296296,0,1,1.57079632679,0.817955555556,0,0.284444444444,0
1.74,0.814088,0,1,1.57079632679,0.8236,0,0.28,0
1.76,0.830615703704,0,1,1.57079632679,0.829155555556,0,0.275555555556,0
1.78,0.84725362963,0,1,1.57079632679,0.834622222222,0,0.271111111111,0
1.8,0.864,0,1,1.57079632679,0.84,0,0.266666666667,0
1.82,0.880853037037,0,1,1.57079632679,0.845288888889,0,0.262222222222,0
1.84,0.897810962963,0,1,1.57079632679,0.850488888889,0,0.257777777778,0
1.86,0.914872,0,1,1.57079632679,0.8556,0,0.253333333333,0
1.88,0.93203437037,0,1,1.57079632679,0.860622222222,0,0.248888888889,0
1.9,0.949296296296,0,1,1.57079632679,0.865555555556,0,0.244444444444,0
1.92,0.966656,0,1,1.57079632679,0.8704,0,0.24,0
1.94,0.984111703704,0,1,1.57079632679,0.875155555556,0,0.235555555556,0
1.96,1.00166162963,0,1,1.57079632679,0.879822222222,0,0.231111111111,0
1.98,1.019304,0,1,1.57079632679,0.8844,0,0.226666666667,0
2,1.03703703704,0,1,1.57079632679,0.888888888889,0,0.222222222222,0
2.02,1.05485896296,0,1,1.57079632679,0.893288888889,0,0.217777777778,0
2.04,1.072768,0,1,1.57079632679,0.8976,0,0.213333333333,0
2.06,1.09076237037,0,1,1.57079632679,0.901822222222,0,0.208888888889,0
2.08,1.1088402963,0,1,1.57079632679,0.905955555556,0,0.204444444444,0
2.1,1.127,0,1,1.57079632679,0.91,0,0.2,0
2.12,1.1452397037,0,1,1.57079632679,0.913955555556,0,0.195555555556,0
2.14,1.16355762963,0,1,1.57079632679,0.917822222222,0,0.191111111111,0
2.16,1.181952,0,1,1.57079632679,0.9216,0,0.186666666667,0
2.18,1.20042103704,0,1,1.57079632679,0.925288888889,0,0.182222222222,0
2.2,1.21896296296,0,1,1.57079632679,0.928888888889,0,0.177777777778,0
2.22,1.237576,0,1,1.57079632679,0.9324,0,0.173333333333,0
2.24,1.25625837037,0,1,1.57079632679,0.935822222222,0,0.168888888889,0
2.26,1.2750082963,0,1,1.57079632679,0.939155555556,0,0.164444444444,0
2.28,1.293824,0,1,1.57079632679,0.9424,0,0.16,0
2.3,1.3127037037,0,1,1.57079632679,0.945555555556,0,0.155555555556,0
2.32,1.33164562963,0,1,1.57079632679,0.948622222222,0,0.151111111111,0
2.34,1.350648,0,1,1.57079632679,0.9516,0,0.146666666667,0
2.36,1.36970903704,0,1,1.57079632679,0.954488888889,0,0.142222222222,0
2.38,1.38882696296,0,1,1.57079632679,0.957288888889,0,0.137777777778,0
2.4,1.408,0,1,1.57079632679,0.96,0,0.133333333333,0
