waypoint_index,t_arrival_s,x_m,y_m,z_m,yaw_rad
1,12,4,0,1,1.57079632679
2,24,7,3,1,1.57079632679
3,36,4,7,1,1.57079632679
4,48,-1,5,1,1.57079632679
5,60,-3,1,1,1.57079632679
