receive_sec,t_act,trajectory_id,piece,x_pos,x_vel,x_acc,x_jerk,x_ratio,y_pos,y_vel,y_acc,y_jerk,y_ratio,z_pos,z_vel,z_acc,z_jerk,z_ratio,yaw_pos,yaw_vel,yaw_acc,yaw_jerk,yaw_ratio
1790081567.96,0,,0,-2.44714790905e-06,0,4.01580015971e-07,0,0,-8.35366344371e-06,1.34049723318e-06,1.37084656254e-06,0,0,0.0249921563303,0.00500276549248,0.159999999994,0,0,3.36580513087e-05,-0,-0.1,0,0
1790081567.99,0.0299958400428,,0,-2.44696724816e-06,1.20457299063e-08,4.01580015971e-07,0,0.607556916494,-8.3128373933e-06,1.38161692733e-06,1.37084656254e-06,0,0.72291596106,0.0252141985169,0.00980209989229,0.159999999994,0,0.611404478253,2.24210303035e-06,-0.00066964214777,0.1,0,81.7497717284
1790081568.02,0.0600370950997,,0,-2.44642417095e-06,2.4109697569e-08,4.01580015971e-07,0,1.21603370045,-8.27071330813e-06,1.42279887848e-06,1.37084656254e-06,0,1.44692644817,0.0255808640595,0.0146087006921,0.159999999994,0,1.22373464935,-3.38813178902e-21,0,0,0,100
1790081568.06,0.100022055209,,0,-2.44513912327e-06,4.01668576412e-08,4.01580015971e-07,0,2.02591726393,-8.21272690214e-06,1.47761212071e-06,1.37084656254e-06,0,2.41058555359,0.0262928960924,0.0210062939718,0.159999999994,0,2.0387470772,-3.38813178902e-21,0,0,0,100
1790081568.09,0.130017787218,,0,-2.44375362896e-06,5.22125473895e-08,4.01580015971e-07,0,2.63347215495,-8.16778812737e-06,1.51873167778e-06,1.37084656254e-06,0,3.13349910459,0.0269949749782,0.0258056123716,0.159999999994,0,2.65014951716,-3.38813178902e-21,0,0,0,100
1790081568.12,0.160021066666,,0,-2.44200633114e-06,6.42612626416e-08,4.01580015971e-07,0,3.24117964493,-8.12160418911e-06,1.55986156281e-06,1.37084656254e-06,0,3.85659422907,0.027841243553,0.0306061362115,0.159999999994,0,3.26170552245,-3.38813178902e-21,0,0,0,100
1790081568.16,0.20004107058,,0,-2.43911300974e-06,8.0332496487e-08,4.01580015971e-07,0,4.05177305483,-8.0580807487e-06,1.61472284772e-06,1.37084656254e-06,0,4.82109796203,0.0291942293042,0.0370093368512,0.159999999994,0,4.07743229207,-3.38813178902e-21,0,0,0,100
1790081568.19,0.230026438832,,0,-2.43652367531e-06,9.23740218505e-08,4.01580015971e-07,0,4.65911790455,-8.00904640723e-06,1.65582818911e-06,1.37084656254e-06,0,5.54376159043,0.0303758977562,0.041806996051,0.159999999994,0,4.68862336057,-3.38813178902e-21,0,0,0,100
1790081568.22,0.260051369667,,0,-2.43356913988e-06,1.04431435326e-07,4.01580015971e-07,0,5.26726411146,-7.95871236834e-06,1.69698776668e-06,1.37084656254e-06,0,6.26737873262,0.0317032697863,0.0466109854908,0.159999999994,0,5.30062086112,-3.38813178902e-21,0,0,0,100
1790081568.26,0.300013720989,,0,-2.42907515395e-06,1.20479519288e-07,4.01580015971e-07,0,6.07668989832,-7.88980212327e-06,1.7517700264e-06,1.37084656254e-06,0,7.23049314172,0.0336937138268,0.0530049626106,0.159999999994,0,6.11517261334,-3.38813178902e-21,0,0,0,100
1790081568.29,0.330028414726,,0,-2.42527810983e-06,1.32532820986e-07,4.01580015971e-07,0,6.6846287173,-7.83660579478e-06,1.79291556787e-06,1.37084656254e-06,0,7.95386351847,0.0353567121663,0.0578073138104,0.159999999994,0,6.7269614126,-3.38813178902e-21,0,0,0,100
1790081568.32,0.360046267509,,0,-2.42111883612e-06,1.44587382038e-07,4.01580015971e-07,0,7.29263105503,-7.78216874379e-06,1.83406540831e-06,1.37084656254e-06,0,8.67730947452,0.0371640479571,0.0626101667702,0.159999999994,0,7.33881413287,-3.38813178902e-21,0,0,0,100
1790081568.36,0.400026977062,,0,-2.41501717233e-06,1.60642844631e-07,4.01580015971e-07,0,8.10242900186,-7.70774584715e-06,1.88887285597e-06,1.37084656254e-06,0,9.64086670695,0.0397951249007,0.0690070837299,0.159999999994,0,8.15374040188,-3.38813178902e-21,0,0,0,100
1790081568.39,0.430043697357,,0,-2.41001429045e-06,1.72696955111e-07,4.01580015971e-07,0,8.71040861381,-7.65043053199e-06,1.93002115832e-06,1.37084656254e-06,0,10.3642856222,0.0419385706775,0.0738097571697,0.159999999994,0,8.76557025246,-3.38813178902e-21,0,0,0,100
