stamp_sec,receive_sec,x,y,z,qx,qy,qz,qw,yaw_rad
0.898,1790081555.59,-1.97950399941e-06,-3.48021242097e-07,0.0249921563308,2.02480293939e-08,-3.91911954381e-05,7.02433597695e-07,0.999999999232,1.40486561154e-06
0.918,1790081555.61,1.22882306727e-06,-3.5746951543e-07,0.0249952028415,-2.59843755991e-08,2.49890955184e-05,7.2509297742e-07,0.999999999688,1.45018465755e-06
0.938,1790081555.63,-2.13599571643e-08,-3.72420174816e-07,0.0250000000663,2.70488595312e-10,-1.25594664231e-10,7.53472514714e-07,1,1.50694502943e-06
0.958,1790081555.65,-1.98177287841e-06,-3.86932704781e-07,0.0249921563308,2.02508253175e-08,-3.91911954515e-05,7.80823872144e-07,0.999999999232,1.56164616058e-06
0.978,1790081555.67,1.22655418423e-06,-3.96380364205e-07,0.0249952028415,-2.59859722752e-08,2.49890955e-05,8.03482949791e-07,0.999999999687,1.60696460235e-06
0.998,1790081555.69,-2.36288434256e-08,-4.11331032311e-07,0.0250000000663,2.70488615682e-10,-1.25594675764e-10,8.31862117071e-07,1,1.66372423414e-06
1.018,1790081555.71,-1.98404176949e-06,-4.25843687798e-07,0.0249921563308,2.02536212041e-08,-3.91911954649e-05,8.59213113051e-07,0.999999999232,1.71842464253e-06
1.038,1790081555.73,1.2242852891e-06,-4.35290733327e-07,0.0249952028415,-2.598756893e-08,2.49890954816e-05,8.8187188861e-07,0.999999999687,1.76374248006e-06
1.058,1790081555.75,-2.58977417702e-08,-4.50241410148e-07,0.0250000000663,2.70488636103e-10,-1.25594687338e-10,9.10250685871e-07,1,1.82050137174e-06
1.078,1790081555.77,-1.98631067265e-06,-4.64754191156e-07,0.0249921563308,2.02564170538e-08,-3.91911954783e-05,9.37601320432e-07,0.999999999232,1.87520105744e-06
1.098,1790081555.79,1.2220163819e-06,-4.74200622793e-07,0.0249952028415,-2.59891655669e-08,2.49890954632e-05,9.60259793915e-07,0.999999999687,1.92051829074e-06
1.118,1790081555.81,-2.81666521937e-08,-4.89151308332e-07,0.0250000000663,2.70488656455e-10,-1.25594698926e-10,9.88638221177e-07,1,1.97727644235e-06
1.138,1790081555.83,-1.98857958789e-06,-5.03664214856e-07,0.0249921563308,2.02592128663e-08,-3.91911954917e-05,1.01598849428e-06,0.999999999232,2.03197540528e-06
1.158,1790081555.85,1.21974746261e-06,-5.13110032611e-07,0.0249952028415,-2.59907621813e-08,2.49890954447e-05,1.03864666572e-06,0.999999999687,2.07729203442e-06
1.178,1790081555.87,-3.04355746979e-08,-5.28060726866e-07,0.0250000000663,2.70488676821e-10,-1.25594710567e-10,1.06702472296e-06,0.999999999999,2.13404944593e-06
1.198,1790081555.89,-1.99084851522e-06,-5.42573758907e-07,0.0249921563308,2.02620086427e-08,-3.91911955051e-05,1.09437463466e-06,0.999999999231,2.18874768617e-06
1.218,1790081555.91,1.21747853125e-06,-5.52018962789e-07,0.0249952028415,-2.5992358774e-08,2.49890954263e-05,1.11703250404e-06,0.999999999687,2.23406371111e-06
1.238,1790081555.93,-3.27045092855e-08,-5.66969665763e-07,0.0250000000663,2.70488697194e-10,-1.25594722094e-10,1.14541019127e-06,0.999999999999,2.29082038254e-06
1.258,1790081555.95,-1.99311745462e-06,-5.81482823316e-07,0.0249921563308,2.02648043813e-08,-3.91911955186e-05,1.17275974152e-06,0.999999999231,2.34551790004e-06
1.278,1790081555.97,1.2152095878e-06,-5.90927413331e-07,0.0249952028415,-2.59939553469e-08,2.49890954079e-05,1.19541730884e-06,0.999999999687,2.39083332079e-06
1.298,1790081555.99,-3.4973455953e-08,-6.05878125021e-07,0.0250000000663,2.70488717567e-10,-1.25594733647e-10,1.22379462608e-06,0.999999999999,2.44758925216e-06
1.318,1790081556.01,-1.99538640611e-06,-6.20391408089e-07,0.0249921563308,2.02676000833e-08,-3.9191195532e-05,1.25114381491e-06,0.999999999231,2.50228604697e-06
1.338,1790081556.03,1.21294063227e-06,-6.29835384248e-07,0.0249952028415,-2.59955518968e-08,2.49890953894e-05,1.27380108017e-06,0.999999999687,2.54760086352e-06
1.358,1790081556.05,-3.72424147035e-08,-6.44786104655e-07,0.0250000000663,2.70488737923e-10,-1.25594745262e-10,1.30217802744e-06,0.999999999999,2.60435605488e-06
1.378,1790081556.07,-1.99765536968e-06,-6.59299513236e-07,0.0249921563308,2.02703957491e-08,-3.91911955454e-05,1.32952685488e-06,0.999999999231,2.65905212704e-06
1.398,1790081556.09,1.21067166466e-06,-6.68742875546e-07,0.0249952028415,-2.59971484293e-08,2.4989095371e-05,1.35218381811e-06,0.999999999687,2.70436633947e-06
1.418,1790081556.11,-3.95113855334e-08,-6.83693604671e-07,0.0250000000663,2.70488758311e-10,-1.25594756917e-10,1.3805603954e-06,0.999999999999,2.7611207908e-06
1.438,1790081556.13,-1.99992434533e-06,-6.98207138757e-07,0.0249921563308,2.02731913775e-08,-3.91911955588e-05,1.40790886143e-06,0.999999999231,2.81581614028e-06
1.458,1790081556.15,1.20840268497e-06,-7.07649887227e-07,0.0249952028415,-2.5998744937e-08,2.49890953526e-05,1.4305655226e-06,0.999999999687,2.86112974851e-06
1.478,1790081556.17,-4.17803684443e-08,-7.22600625066e-07,0.0250000000663,2.70488778667e-10,-1.25594768484e-10,1.45894172985e-06,0.999999999999,2.91788345971e-06
1.498,1790081556.19,-2.00219333306e-06,-7.37114284665e-07,0.0249921563308,2.02759869687e-08,-3.91911955722e-05,1.48628983447e-06,0.999999999231,2.97257808652e-06
1.518,1790081556.21,1.2061336932e-06,-7.46556419298e-07,0.0249952028415,-2.60003414236e-08,2.49890953342e-05,1.5089461936e-06,0.999999999687,3.01789109058e-06
1.538,1790081556.23,-4.40493634305e-08,-7.61507165858e-07,0.0250000000663,2.70488799051e-10,-1.25594779936e-10,1.53732203091e-06,0.999999999999,3.07464406182e-06
1.558,1790081556.25,-2.00446233287e-06,-7.76020950962e-07,0.0249921563308,2.02787825238e-08,-3.91911955856e-05,1.56466977411e-06,0.999999999231,3.12933796594e-06
1.578,1790081556.27,1.20386468935e-06,-7.85462471776e-07,0.0249952028415,-2.60019378919e-08,2.49890953157e-05,1.58732583121e-06,0.999999999687,3.17465036586e-06
1.598,1790081556.29,-4.63183705018e-08,-8.0041322705e-07,0.0250000000663,2.70488819386e-10,-1.25594791679e-10,1.61570129853e-06,0.999999999999,3.23140259707e-06
1.618,1790081556.31,-2.00673134475e-06,-8.14927137659e-07,0.0249921563308,2.02815780419e-08,-3.9191195599e-05,1.64304868034e-06,0.999999999231,3.28609577854e-06
1.638,1790081556.33,1.20159567342e-06,-8.24368044655e-07,0.0249952028415,-2.6003534339e-08,2.49890952973e-05,1.6657044354e-06,0.999999999686,3.33140757431e-06
1.658,1790081556.35,-4.85873896522e-08,-8.39318808646e-07,0.0250000000663,2.70488839796e-10,-1.25594803239e-10,1.69407953277e-06,0.999999999999,3.38815906553e-06
1.678,1790081556.37,-2.00900036872e-06,-8.53832844756e-07,0.0249921563308,2.02843735226e-08,-3.91911956124e-05,1.72142655319e-06,0.999999999231,3.44285152437e-06
1.698,1790081556.39,1.19932664541e-06,-8.63273137941e-07,0.0249952028415,-2.60051307637e-08,2.49890952789e-05,1.74408200624e-06,0.999999999686,3.48816271605e-06
1.718,1790081556.41,-5.08564208815e-08,-8.78223910649e-07,0.0250000000663,2.70488860147e-10,-1.2559481482e-10,1.77245673363e-06,0.999999999998,3.54491346726e-06
1.738,1790081556.43,-2.01126940477e-06,-8.92738072262e-07,0.0249921563308,2.02871689673e-08,-3.91911956259e-05,1.79980339268e-06,0.99999999923,3.59960520349e-06
